Adhesion [pN],Area [aJ]
173.551,27.8036
283.062,90.475
266.53799999999995,218.46599999999998
207.278,101.32499999999999
71.7406,9.25292
120.664,57.053099999999986
387.58000000000004,259.327
64.5406,1.7799899999999997
84.086,9.54782
136.509,81.47169999999998
181.746,66.21279999999999
104.53399999999999,70.5166
71.015,7.28989
55.233,3.36834
62.2023,2.96188
158.603,43.254
86.94930000000001,5.9697499999999994
172.547,39.628899999999994
115.86999999999999,81.3068
157.949,75.50179999999999
119.007,14.7624
370.497,12.089599999999999
55.7359,1.75537
270.806,216.75799999999998
180.759,85.68379999999999
64.8425,12.657999999999998
132.784,11.574399999999999
208.99800000000002,33.1603
103.81,6.26477
104.381,20.978499999999997
151.64000000000001,8.89019
145.65,8.97331
231.06,19.481199999999998
84.3733,3.5356499999999995
100.265,3.52626
293.851,45.659499999999994
94.9272,14.314099999999998
53.1826,5.97131
174.116,51.52919999999999
107.963,21.985699999999994
117.155,27.069899999999997
52.796099999999996,3.0277999999999996
39.3539,1.2625799999999998
35.1639,1.91163
