20230306-CD,20230306-E,20230306-M,20230312-CD,20230312-E,20230312-M,20230707-CD,20230707-E,20230707-M,20230922-CD,20230922-E,20230922-M
486.0,108.0,131.0,489.99999999999994,110.0,160.0,221.0,124.00000000000001,101.0,54.599999999999994,223.0,274.0
143.0,152.0,146.0,140.0,150.0,130.0,205.0,94.9,38.900000000000006,144.0,97.10000000000001,
1160.0,354.0,81.80000000000001,1200.0,350.0,170.0,47.099999999999994,84.8,47.7,51.900000000000006,206.0,
751.0,105.0,159.0,750.0,100.0,33.0,76.2,108.0,487.0,288.0,774.0,
233.00000000000003,107.0,132.0,230.0,110.0,140.0,57.8,59.5,134.0,57.699999999999996,199.0,
153.0,162.0,174.0,150.0,160.0,87.0,58.4,156.0,18.0,225.0,127.0,
1090.0,143.0,32.6,1100.0,140.0,120.0,63.099999999999994,21.4,71.10000000000001,121.99999999999999,43.7,
319.0,126.0,142.0,320.0,130.0,160.0,268.0,72.10000000000001,92.80000000000001,33.1,278.0,
711.0,134.0,87.4,710.0,130.0,200.0,104.0,70.39999999999999,106.0,175.0,80.7,
1110.0,143.0,115.0,1100.0,140.0,66.0,85.1,63.4,35.5,41.199999999999996,78.7,
763.0,131.0,162.0,760.0,130.0,120.0,145.0,76.5,36.099999999999994,167.0,122.99999999999999,
255.0,155.0,204.0,260.0,150.0,53.0,45.2,31.299999999999997,86.0,65.6,173.0,
507.0,184.0,65.8,510.0,180.0,120.0,94.19999999999999,36.6,152.0,55.4,71.60000000000001,
1190.0,70.1,121.0,1200.0,70.0,120.0,73.1,23.0,57.6,60.5,120.0,
132.0,227.0,52.6,130.0,230.0,38.0,22.9,44.400000000000006,153.0,118.0,189.0,
1959.9999999999998,204.0,120.0,2000.0000000000002,200.0,110.0,34.0,41.5,76.2,112.0,209.0,
975.9999999999999,108.0,118.0,979.9999999999999,110.0,36.0,146.0,28.4,18.3,139.0,68.9,
425.0,158.0,37.7,420.0,160.0,120.0,173.0,55.8,46.800000000000004,44.800000000000004,240.0,
134.0,142.0,113.0,130.0,140.0,60.99999999999999,138.0,41.4,152.0,91.3,453.0,
739.0,162.0,36.099999999999994,740.0,160.0,150.0,52.5,20.7,140.0,55.699999999999996,165.0,
737.0,230.0,121.99999999999999,740.0,230.0,140.0,47.0,35.4,126.0,29.7,71.2,
290.0,195.0,60.8,290.0,200.0,37.0,71.10000000000001,91.3,68.10000000000001,115.0,34.5,
96.2,63.699999999999996,145.0,96.0,64.0,110.0,47.9,58.599999999999994,37.6,99.3,87.6,
72.19999999999999,53.2,135.0,72.0,53.0,96.0,195.0,38.6,37.9,284.0,81.89999999999999,
207.0,161.0,37.4,210.0,160.0,56.0,122.99999999999999,62.7,103.0,712.0,60.5,
503.0,142.0,112.0,500.00000000000006,160.0,39.0,43.4,75.5,83.6,272.0,83.0,
568.0,160.0,96.39999999999999,570.0,110.0,120.0,39.0,60.199999999999996,28.2,42.9,78.89999999999999,
1400.0,111.0,55.5,1400.0,170.0,230.0,51.7,63.89999999999999,16.1,44.800000000000004,135.0,
636.0,169.0,39.0,640.0,310.0,110.0,146.0,38.900000000000006,107.0,89.8,241.0,
231.0,312.0,116.0,230.0,100.0,40.0,46.800000000000004,109.0,50.6,54.9,61.3,
328.0,103.0,228.0,330.0,91.0,110.0,193.0,33.6,34.0,50.1,136.0,
536.0,90.69999999999999,114.0,540.0,190.0,80.0,64.8,,25.7,62.50000000000001,15.2,
682.0,189.0,40.4,680.0,120.0,82.0,61.9,,67.3,360.0,38.900000000000006,
263.0,117.00000000000001,112.0,260.0,140.0,28.0,51.4,,56.5,45.1,224.0,
141.0,139.0,80.2,140.0,110.0,57.0,47.0,,7.81,77.1,144.0,
1110.0,112.0,82.10000000000001,1100.0,65.0,110.0,35.800000000000004,,30.0,72.0,205.0,
823.0,65.4,28.099999999999998,820.0,60.99999999999999,150.0,71.10000000000001,,180.0,140.0,245.99999999999997,
826.0,60.8,57.4,830.0,40.0,58.0,75.5,,83.6,49.6,86.69999999999999,
418.0,39.800000000000004,113.0,420.0,160.0,130.0,60.6,,60.99999999999999,83.0,197.0,
63.199999999999996,163.0,147.0,63.0,70.0,160.0,17.8,,49.3,32.099999999999994,41.300000000000004,
384.0,69.5,58.3,380.0,120.0,24.0,34.0,,46.3,140.0,543.0,
826.0,125.00000000000001,130.0,830.0,34.0,150.0,164.0,,52.199999999999996,63.5,259.0,
453.0,33.699999999999996,162.0,450.0,82.0,99.0,122.99999999999999,,168.0,47.9,215.0,
462.0,82.10000000000001,24.0,460.0,150.0,25.0,50.199999999999996,,38.4,449.0,73.80000000000001,
766.0,154.0,148.0,770.0,32.0,260.0,87.10000000000001,,70.6,39.599999999999994,109.0,
283.0,31.599999999999998,99.0,280.0,1200.0,120.0,75.10000000000001,,42.2,81.39999999999999,244.99999999999997,
1100.0,1230.0,25.5,1100.0,250.00000000000003,48.0,72.6,,33.6,62.3,460.0,
171.0,245.99999999999997,259.0,170.0,52.0,150.0,37.4,,24.0,58.3,98.5,
193.0,52.300000000000004,122.99999999999999,190.0,64.0,38.0,23.0,,35.9,48.5,118.0,
797.0,63.800000000000004,47.5,800.0,140.0,180.0,48.400000000000006,,85.0,45.4,651.0,
81.89999999999999,136.0,148.0,82.0,150.0,75.0,100.0,,179.0,58.800000000000004,62.2,
421.0,149.0,37.9,420.0,110.0,170.0,85.1,,48.0,102.0,93.5,
289.0,111.0,183.0,290.0,170.0,34.0,41.5,,81.1,330.0,115.0,
94.5,173.0,74.7,95.0,82.0,110.0,132.0,,42.699999999999996,102.0,39.1,
470.00000000000006,82.2,170.0,470.00000000000006,47.0,130.0,55.9,,446.0,69.6,193.0,
362.0,46.5,34.4,360.0,240.0,140.0,132.0,,58.599999999999994,47.300000000000004,473.0,
850.0,237.0,111.0,850.0,540.0,59.0,80.3,,33.6,173.0,203.0,
41.199999999999996,539.0,128.0,41.0,59.0,30.0,74.5,,72.4,67.39999999999999,78.8,
350.0,58.50000000000001,136.0,350.0,81.0,100.0,25.8,,,76.7,78.89999999999999,
568.0,80.7,58.50000000000001,570.0,170.0,35.0,102.0,,,46.2,48.1,
204.0,174.0,30.4,200.0,59.0,84.0,17.5,,,39.5,69.7,
692.0,58.50000000000001,102.0,690.0,28.0,250.00000000000003,62.4,,,139.0,65.8,
814.0,28.4,34.7,810.0,380.0,130.0,32.9,,,85.7,64.3,
35.3,382.0,83.8,35.0,140.0,150.0,62.4,,,277.0,121.99999999999999,
398.0,138.0,244.99999999999997,400.0,300.0,160.0,72.6,,,77.6,29.900000000000002,
887.0,300.0,135.0,890.0,70.0,59.0,57.9,,,46.400000000000006,42.9,
36.2,69.8,153.0,36.0,19.0,310.0,105.0,,,357.0,263.0,
32.7,19.0,163.0,33.0,120.0,26.0,16.599999999999998,,,117.00000000000001,39.199999999999996,
459.0,116.0,58.7,460.0,90.0,98.0,133.0,,,54.0,293.0,
365.0,89.89999999999999,308.0,360.0,120.0,94.0,70.39999999999999,,,40.8,84.0,
32.5,115.0,26.2,33.0,180.0,150.0,97.5,,,87.7,41.8,
534.0,176.0,98.10000000000001,530.0,100.0,370.0,81.80000000000001,,,187.0,242.0,
1040.0,101.0,94.19999999999999,1000.0000000000001,130.0,160.0,101.0,,,77.80000000000001,95.6,
232.0,132.0,152.0,230.0,95.0,130.0,41.1,,,41.7,21.5,
963.0000000000001,94.9,367.0,960.0,48.0,130.0,59.60000000000001,,,160.0,199.0,
62.7,47.6,164.0,63.0,150.0,220.0,127.0,,,73.1,148.0,
302.0,148.0,134.0,300.0,190.0,,220.0,,,36.099999999999994,25.7,
870.0,194.0,129.0,870.0,70.0,,40.3,,,88.3,83.19999999999999,
105.0,69.8,219.0,100.0,87.0,,65.2,,,101.0,225.0,
784.0,87.10000000000001,,780.0,59.0,,72.7,,,35.9,525.0,
186.0,58.7,,190.0,160.0,,63.300000000000004,,,56.1,73.0,
98.10000000000001,160.0,,98.0,94.0,,24.5,,,88.3,241.0,
44.800000000000004,94.10000000000001,,45.0,53.0,,42.1,,,74.39999999999999,98.8,
58.800000000000004,52.9,,59.0,180.0,,48.9,,,29.7,53.900000000000006,
258.0,178.0,,260.0,49.0,,28.9,,,36.900000000000006,116.0,
539.0,48.5,,540.0,49.0,,118.0,,,243.0,160.0,
181.0,49.099999999999994,,180.0,77.0,,30.8,,,344.0,117.00000000000001,
56.199999999999996,76.8,,56.0,79.0,,61.2,,,124.00000000000001,203.0,
237.0,78.60000000000001,,240.0,170.0,,35.9,,,45.4,35.9,
43.9,174.0,,44.0,200.0,,28.0,,,96.80000000000001,212.0,
79.9,203.0,,80.0,26.0,,135.0,,,30.499999999999996,171.0,
60.400000000000006,26.3,,60.0,45.0,,72.7,,,63.4,62.800000000000004,
46.0,45.4,,46.0,37.0,,50.0,,,39.1,164.0,
568.0,37.300000000000004,,570.0,110.0,,25.400000000000002,,,33.0,105.0,
23.400000000000002,113.0,,23.0,140.0,,72.9,,,240.0,22.1,
493.99999999999994,136.0,,489.99999999999994,30.0,,36.7,,,57.6,82.5,
423.0,29.6,,420.0,140.0,,52.1,,,40.4,70.30000000000001,
550.0,137.0,,550.0,26.0,,140.0,,,115.0,17.3,
296.0,25.9,,300.0,88.0,,47.9,,,38.2,634.0,
26.2,87.8,,26.0,180.0,,52.4,,,89.8,28.299999999999997,
55.0,184.0,,55.0,250.00000000000003,,117.00000000000001,,,75.3,94.5,
544.0,252.0,,540.0,150.0,,52.4,,,62.099999999999994,61.3,
699.0,149.0,,700.0,85.0,,175.0,,,31.000000000000004,65.5,
357.0,85.30000000000001,,360.0,85.0,,47.2,,,92.0,120.0,
581.0,85.2,,580.0,58.0,,56.9,,,76.3,54.4,
720.0,58.3,,720.0,82.0,,53.0,,,99.8,131.0,
1170.0,82.39999999999999,,1200.0,220.0,,46.3,,,147.0,67.10000000000001,
72.4,218.0,,72.0,120.0,,60.300000000000004,,,54.4,28.5,
567.0,122.99999999999999,,570.0,79.0,,88.4,,,57.5,83.19999999999999,
100.0,79.0,,100.0,73.0,,36.4,,,67.3,186.0,
110.0,73.1,,110.0,140.0,,27.5,,,32.2,29.900000000000002,
373.0,138.0,,370.0,130.0,,82.9,,,102.0,33.699999999999996,
521.0,133.0,,520.0,86.0,,65.0,,,36.2,30.0,
28.099999999999998,85.7,,28.0,30.0,,26.0,,,103.0,735.0,
107.0,29.6,,110.0,120.0,,51.7,,,484.0,31.5,
340.0,122.99999999999999,,340.0,120.0,,53.5,,,52.199999999999996,89.5,
505.0,121.99999999999999,,510.0,140.0,,207.0,,,141.0,136.0,
20.1,144.0,,20.0,160.0,,41.4,,,87.9,140.0,
40.1,157.0,,40.0,250.00000000000003,,38.8,,,59.89999999999999,92.4,
173.0,253.0,,170.0,140.0,,70.8,,,77.6,132.0,
647.0,143.0,,650.0,120.0,,27.0,,,42.699999999999996,64.60000000000001,
402.0,122.99999999999999,,400.0,110.0,,27.2,,,57.699999999999996,109.0,
12.3,115.0,,12.0,23.0,,36.3,,,31.800000000000004,155.0,
377.0,22.7,,380.0,24.0,,70.2,,,43.1,582.0,
169.0,24.3,,170.0,41.0,,17.3,,,31.299999999999997,109.0,
987.9999999999999,40.8,,990.0000000000001,30.0,,113.0,,,60.1,26.3,
125.00000000000001,30.200000000000003,,130.0,210.0,,49.2,,,78.1,26.7,
