spot Cell divison_processed-Area [aJ]-14.03.52,spot Cell divison_processed-Adhesion [pN]-14.03.52,spot elongation_processed-Area [aJ]-13.26.56,spot elongation_processed-Adhesion [pN]-13.26.56,spot maturation_processed-Area [aJ]-14.04.13,spot maturation_processed-Adhesion [pN]-14.04.13
20.103899999999996,74.5235,27.8036,173.551,40.92809999999999,308.794
478.51199999999994,1123.18,90.475,283.062,20.710099999999997,152.238
7.339189999999999,108.26100000000001,1.90076,108.669,23.606699999999996,109.11699999999999
33.08259999999999,136.145,218.46599999999998,266.53799999999995,4.06297,78.74799999999999
23.166799999999995,53.716499999999996,101.32499999999999,207.278,15.633399999999996,115.649
17.766599999999997,64.0658,9.25292,71.7406,0.7920079999999999,53.6672
91.49759999999999,321.17,57.053099999999986,120.664,16.723699999999997,205.19299999999998
504.6139999999999,722.5409999999999,259.327,387.58000000000004,10.722499999999998,190.212
187.66499999999996,569.1389999999999,1.7799899999999997,64.5406,4.96695,199.989
11.593399999999999,63.1601,0.9949799999999999,46.8895,1.67752,69.8331
51.42159999999999,302.40000000000003,9.54782,84.086,2.74897,43.8783
269.09499999999997,582.39,81.47169999999998,136.509,1.50961,95.8134
5.89863,86.635,66.21279999999999,181.746,10.612599999999999,63.084799999999994
11.712799999999998,49.6375,70.5166,104.53399999999999,41.59299999999999,341.36
129.44899999999998,639.0340000000001,7.28989,71.015,2.89772,61.5852
18.363999999999997,75.96470000000001,3.36834,55.233,139.33899999999997,704.892
20.642599999999998,98.9178,2.96188,62.2023,1.28586,39.9664
51.889399999999995,472.042,43.254,158.603,12.455799999999998,88.2668
79.04409999999999,165.356,5.9697499999999994,86.94930000000001,4.31802,44.0287
174.18799999999996,528.1469999999999,39.628899999999994,172.547,1.4998799999999999,43.1054
104.11099999999999,258.77500000000003,1.58687,45.3976,,
248.2,537.071,1.25504,43.6332,,
67.16229999999999,180.18800000000002,1.3529999999999998,42.167699999999996,,
193.79299999999998,226.65200000000002,81.3068,115.86999999999999,,
612.203,937.3720000000001,75.50179999999999,157.949,,
52.922999999999995,91.1224,4.5455499999999995,77.5754,,
199.164,482.91499999999996,14.7624,119.007,,
16.161599999999996,113.703,1.30206,76.4766,,
121.55099999999997,155.871,12.089599999999999,370.497,,
5.73706,40.3723,1.37546,66.2366,,
141.85799999999998,300.933,3.45592,231.559,,
48.53359999999999,77.3036,1.75537,55.7359,,
10.897299999999998,42.979899999999994,0.391775,44.930499999999995,,
31.583899999999996,58.167199999999994,1.02686,68.22359999999999,,
29.503799999999995,123.47699999999999,1.45099,53.064,,
564.8589999999999,494.427,0.971509,37.2112,,
28.8422,109.131,1.4539199999999999,50.133900000000004,,
252.59399999999997,725.6220000000001,216.75799999999998,270.806,,
199.19299999999996,674.814,85.68379999999999,180.759,,
10.582799999999999,46.291199999999996,12.657999999999998,64.8425,,
13.194399999999998,41.7154,2.51184,70.0072,,
81.31279999999998,289.432,11.574399999999999,132.784,,
16.711599999999997,132.108,33.1603,208.99800000000002,,
422.816,941.31,6.26477,103.81,,
75.05539999999999,300.199,2.3066299999999997,75.2864,,
219.634,549.9879999999999,4.51214,58.8946,,
25.701699999999995,101.14399999999999,0.8599549999999999,56.5059,,
30.0156,136.824,1.3764899999999998,54.262299999999996,,
3.8187699999999998,42.4382,20.978499999999997,104.381,,
17.1631,80.917,8.89019,151.64000000000001,,
302.20199999999994,414.62600000000003,8.97331,145.65,,
5.3956,39.7703,2.42313,71.2064,,
86.89,214.728,19.481199999999998,231.06,,
1.99203,38.5715,3.5356499999999995,84.3733,,
7.64126,44.6036,3.52626,100.265,,
,,13.5476,155.232,,
,,11.761199999999999,161.571,,
,,45.659499999999994,293.851,,
,,19.984999999999996,219.794,,
,,14.314099999999998,94.9272,,
,,5.97131,53.1826,,
,,51.52919999999999,174.116,,
,,21.985699999999994,107.963,,
,,27.069899999999997,117.155,,
,,14.880499999999998,250.208,,
,,3.0277999999999996,52.796099999999996,,
,,1.2625799999999998,39.3539,,
,,1.91163,35.1639,,
