Filename	Index	X Min [m]	X Max [m]	Contour Length [m]	Bending Length [m]	Stretch Modulus	Residual RMS [N]	Breaking Force [N]	Critical Loading Rate [N/s]
force-save-2023.07.02-16.15.29.678.jpk-force	0	7.53211e-11	8.07915e-09	2.36445e-08	4.21021e-11		1.42188e-11	6.53671e-11	1.23594e-08
force-save-2023.07.02-16.15.35.935.jpk-force	0	1.43327e-10	1.86597e-08	3.37990e-07	1.52825e-12		1.44847e-11	2.29701e-10	1.34073e-08
force-save-2023.07.02-16.15.39.154.jpk-force	0	1.76891e-11	8.23477e-09	4.03503e-08	2.69629e-11		9.21797e-12	5.32395e-11	8.73882e-09
force-save-2023.07.02-16.15.39.154.jpk-force	1	2.48157e-08	1.29900e-07	1.41521e-07	3.37654e-09		1.03159e-11	4.60174e-11	8.98430e-09
force-save-2023.07.02-16.16.26.363.jpk-force	0	3.98660e-11	1.51111e-08	1.56799e-08	1.72483e-08		1.24836e-11	4.55180e-11	4.37043e-08
force-save-2023.07.02-16.16.38.814.jpk-force	0	1.57593e-09	8.42264e-09	1.20609e-08	2.21311e-10		9.58602e-12	5.94401e-11	2.32007e-08
force-save-2023.07.02-16.16.51.529.jpk-force	0	4.80606e-11	1.36035e-08	1.84217e-08	3.64675e-10		1.00734e-11	4.67656e-11	1.66402e-08
force-save-2023.07.02-16.16.57.750.jpk-force	0	2.50911e-09	2.32609e-08	2.75859e-08	1.45995e-09		9.66650e-12	3.03485e-11	1.35574e-08
force-save-2023.07.02-16.17.10.208.jpk-force	0	7.63620e-09	7.43983e-08	7.77932e-08	9.93606e-09		1.27045e-11	5.46757e-11	2.40688e-08
force-save-2023.07.02-16.17.13.438.jpk-force	0	1.51355e-07	1.51237e-06	2.29303e-06	6.55376e-11		1.64276e-11	1.61199e-10	4.97921e-10
force-save-2023.07.02-16.17.13.438.jpk-force	1	1.59273e-06	2.24718e-06	3.83663e-06	2.87900e-11		1.19030e-11	2.56270e-10	3.98752e-10
force-save-2023.07.02-16.19.17.903.jpk-force	0	2.00676e-07	1.99323e-06	2.57008e-06	1.13930e-10		1.51739e-11	1.98288e-10	8.43001e-10
force-save-2023.07.02-16.19.17.903.jpk-force	1	2.00746e-06	2.02058e-06	2.56765e-06	2.04608e-10		5.63193e-12	1.21599e-10	5.50541e-10
force-save-2023.07.02-16.21.06.916.jpk-force	0	1.51525e-07	1.51066e-06	2.01816e-06	3.94344e-10		7.94809e-12	4.64722e-11	2.21604e-10
force-save-2023.07.02-16.21.50.584.jpk-force	0	1.10248e-08	9.63408e-08	1.83706e-07	9.75241e-11		9.27912e-12	5.82400e-11	1.66011e-09
force-save-2023.07.02-16.21.53.805.jpk-force	0	1.95468e-08	1.90082e-07	7.51784e-07	1.52396e-11		7.52062e-12	1.21732e-10	1.01971e-09
force-save-2023.07.02-16.21.53.805.jpk-force	1	2.21371e-07	4.32525e-07	5.26434e-07	8.95274e-10		1.10841e-11	3.87508e-11	1.00457e-09
force-save-2023.07.02-16.22.21.810.jpk-force	0	3.22254e-08	3.10931e-07	5949.90	1.69407e-21		1.08779e-11	1.96872e-10	8.19152e-10
force-save-2023.07.02-16.22.40.007.jpk-force	0	4.97603e-09	4.95349e-08	7.59027e-08	1.12080e-10		1.18417e-11	9.08717e-11	7.22052e-09
force-save-2023.07.02-16.22.40.007.jpk-force	1	5.28114e-08	6.20391e-08	8.97263e-08	1.47120e-10		8.11807e-12	8.58139e-11	6.57602e-09
force-save-2023.07.02-16.22.40.007.jpk-force	2	6.83333e-08	9.17018e-08	2.42847e-07	3.74993e-11		1.12102e-11	8.48537e-11	1.79189e-09
force-save-2023.07.02-16.22.40.007.jpk-force	3	9.60479e-08	1.13309e-07	3.82245e-07	2.81613e-11		8.39392e-12	8.06098e-11	1.21455e-09
force-save-2023.07.02-16.22.46.264.jpk-force	0	2.46531e-10	1.75197e-08	3.56914e-08	7.77466e-11		1.11972e-11	6.38166e-11	8.04113e-09
force-save-2023.07.02-16.22.52.433.jpk-force	0	1.89439e-08	1.86037e-07	2.25025e-07	7.66302e-10		7.25976e-12	4.78338e-11	2.92353e-09
force-save-2023.07.02-16.23.57.647.jpk-force	0	6.20514e-09	5.89393e-08	7.25145e-08	5.37244e-10		1.33772e-11	5.89688e-11	9.12149e-09
force-save-2023.07.02-16.24.43.178.jpk-force	0	1.43814e-11	1.10767e-07	1.32675e-07	1.03533e-09		6.90232e-12	3.87802e-11	4.29173e-09
force-save-2023.07.02-16.24.58.877.jpk-force	0	5.20993e-08	4.86973e-07	6.20004e-07	2.74260e-10		1.07021e-11	8.95411e-11	1.62662e-09
force-save-2023.07.02-16.24.58.877.jpk-force	1	5.24310e-07	5.31428e-07	4.50957	1.93835e-17		7.70499e-12	3.75400e-11	9.46514e-11
force-save-2023.07.02-16.25.09.259.jpk-force	0	2.55038e-07	5.11871e-07	5.40405e-07	3.03938e-09		1.07153e-11	1.22391e-10	9.40004e-09
force-save-2023.07.02-16.25.09.259.jpk-force	1	5.26100e-07	5.76670e-07	6.33526e-07	1.59797e-09		6.13446e-12	8.16595e-11	3.52201e-09
force-save-2023.07.02-16.25.09.259.jpk-force	2	5.81805e-07	6.11462e-07	6.48594e-07	2.14214e-09		7.39905e-12	1.47906e-10	8.83068e-09
force-save-2023.07.02-16.25.15.506.jpk-force	0	3.71277e-08	3.66857e-07	3.96538e-07	1.11749e-09		1.54277e-11	1.66851e-10	1.16122e-08
force-save-2023.07.02-16.25.15.506.jpk-force	1	3.83350e-07	4.63053e-07	4.99177e-07	1.71942e-09		7.32373e-12	1.15910e-10	7.31227e-09
force-save-2023.07.02-16.25.52.945.jpk-force	0	2.00874e-10	1.04456e-07	1.29749e-07	4.17988e-10		7.09312e-12	7.02549e-11	6.12070e-09
