Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Filter Group	Area [J]	Lower Bound [m]	Upper Bound [m]	Fitted Segment Count
force-save-2023.07.02-16.55.50.418.jpk-force	14	6.00000e-07	-4.20000e-06	2.58409e-09	-1.82861e-05	9.02920e-06	2.39049e-11	-2.39049e-11	4.20591e-07	0	2.51647e-19	1.98122e-06	2.02315e-06	0
force-save-2023.07.02-16.56.02.787.jpk-force	15	-6.00000e-07	-4.20000e-06	2.71344e-09	-3.18189e-05	9.08841e-06	3.69942e-11	-3.69942e-11	7.44675e-07	0	1.53492e-17	3.68345e-07	1.37431e-06	0
force-save-2023.07.02-16.56.15.180.jpk-force	15	-6.00000e-07	-4.20000e-06	2.53068e-09	-1.80326e-05	9.22023e-06	2.74699e-11	-2.74699e-11	9.51067e-07	0	3.61852e-19	1.34181e-06	1.38848e-06	0
force-save-2023.07.02-16.56.21.362.jpk-force	15	-6.00000e-07	-4.20000e-06	2.54456e-09	-2.10447e-05	9.17615e-06	2.70058e-11	-2.70058e-11	4.82998e-07	0	6.17737e-19	2.06037e-06	2.14578e-06	0
force-save-2023.07.02-16.56.24.593.jpk-force	16	-1.80000e-06	-4.20000e-06	2.55403e-09	-2.25665e-05	9.29683e-06	2.68312e-11	-2.68312e-11	6.34459e-07	0	4.76290e-19	2.70143e-06	2.77649e-06	0
force-save-2023.07.02-16.56.33.849.jpk-force	16	-1.80000e-06	-4.20000e-06	2.44712e-09	-1.58553e-05	9.53122e-06	2.29714e-11	-2.29714e-11	7.41527e-07	0	1.44411e-19	1.10147e-06	1.12105e-06	0
force-save-2023.07.02-16.56.40.086.jpk-force	16	-1.80000e-06	-4.20000e-06	2.36510e-09	-9.45183e-06	9.39701e-06	2.08920e-11	-2.08920e-11	6.65891e-07	0	1.94598e-19	2.17110e-06	2.20112e-06	0
force-save-2023.07.02-16.57.43.520.jpk-force	17	-3.00000e-06	-4.20000e-06	4.01037e-09	-1.27389e-05	7.99931e-06	2.32222e-11	-2.32222e-11	7.53681e-07	0	3.05060e-19	2.91737e-06	2.96416e-06	0
force-save-2023.07.02-16.58.02.583.jpk-force	17	-3.00000e-06	-4.20000e-06	3.91922e-09	-1.00041e-05	7.35893e-06	2.21853e-11	-2.21853e-11	1.02521e-06	0	6.81558e-19	2.81549e-06	2.90776e-06	0
force-save-2023.07.02-16.58.05.808.jpk-force	18	-4.20000e-06	-4.20000e-06	3.73745e-09	2.04644e-05	6.67447e-06	3.65988e-11	-3.65988e-11	3.21653e-06	0	4.90439e-18	3.52805e-07	7.11742e-07	0
force-save-2023.07.02-16.58.15.579.jpk-force	18	-4.20000e-06	-4.20000e-06	3.94485e-09	-1.61059e-05	6.54053e-06	2.85417e-11	-2.85417e-11	1.88428e-06	0	1.22989e-18	1.80069e-06	1.91734e-06	0
force-save-2023.07.02-16.58.21.930.jpk-force	18	-4.20000e-06	-4.20000e-06	3.87294e-09	-1.29360e-05	6.24361e-06	2.53111e-11	-2.53111e-11	5.82958e-07	0	2.42712e-19	2.10552e-06	2.14164e-06	0
force-save-2023.07.02-16.58.28.268.jpk-force	18	-4.20000e-06	-4.20000e-06	3.87646e-09	-1.34136e-05	5.87744e-06	2.59024e-11	-2.59024e-11	3.07489e-06	0	3.28462e-19	7.06072e-07	7.50894e-07	0
force-save-2023.07.02-16.58.34.580.jpk-force	18	-4.20000e-06	-4.20000e-06	3.78080e-09	1.21928e-07	5.93785e-06	2.29740e-11	-2.29740e-11	1.92385e-06	0	6.71467e-19	1.91277e-06	1.99423e-06	0
force-save-2023.07.02-16.58.37.819.jpk-force	19	-5.40000e-06	-4.20000e-06	3.86183e-09	-1.64573e-05	5.42562e-06	2.96207e-11	-2.96207e-11	1.43893e-06	0	3.51140e-19	1.42444e-06	1.47172e-06	0
force-save-2023.07.02-16.58.47.293.jpk-force	19	-5.40000e-06	-4.20000e-06	3.79943e-09	-1.25769e-05	5.57265e-06	2.12628e-11	-2.12628e-11	5.42168e-07	0	2.19446e-19	2.42682e-06	2.46371e-06	0
force-save-2023.07.02-16.58.53.576.jpk-force	19	-5.40000e-06	-4.20000e-06	3.80541e-09	-1.32909e-05	5.23167e-06	2.25079e-11	-2.25079e-11	1.03825e-06	0	1.63902e-19	2.47995e-06	2.51534e-06	0
force-save-2023.07.02-16.58.59.884.jpk-force	19	-5.40000e-06	-4.20000e-06	3.82859e-09	-2.58286e-05	4.98809e-06	3.14193e-11	-3.14193e-11	9.33784e-07	0	4.61465e-19	2.38243e-06	2.43501e-06	0
force-save-2023.07.02-16.59.06.176.jpk-force	19	-5.40000e-06	-4.20000e-06	3.73273e-09	-1.08815e-05	4.97882e-06	2.37828e-11	-2.37828e-11	2.57731e-06	0	1.81877e-19	6.82040e-07	7.04658e-07	0
force-save-2023.07.02-16.59.09.412.jpk-force	20	-5.40000e-06	-3.00000e-06	3.75864e-09	-1.46979e-05	5.27276e-06	2.88079e-11	-2.88079e-11	1.13426e-06	0	2.22114e-18	1.08145e-06	1.25872e-06	0
