Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Filter Group	Area [J]	Lower Bound [m]	Upper Bound [m]	Fitted Segment Count
force-save-2023.07.02-18.11.20.540.jpk-force	28	4.20000e-06	-3.00000e-06	2.41222e-09	-2.80822e-05	2.62632e-06	1.89900e-11	-1.89900e-11	5.32522e-08	1	1.66794e-19	1.70048e-06	1.73660e-06	0
force-save-2023.07.02-18.11.24.768.jpk-force	28	4.20000e-06	-3.00000e-06	2.36314e-09	-2.20119e-05	2.65588e-06	1.86144e-11	-1.86144e-11	6.02251e-07	0	2.11135e-19	1.21390e-06	1.25802e-06	0
force-save-2023.07.02-18.11.26.987.jpk-force	29	5.40000e-06	-3.00000e-06	2.33055e-09	-2.04741e-05	2.50441e-06	1.97863e-11	-1.97863e-11	6.89070e-07	0	1.08362e-19	6.83153e-07	6.99586e-07	0
force-save-2023.07.02-18.11.37.545.jpk-force	29	5.40000e-06	-3.00000e-06	2.31796e-09	-2.85224e-05	2.42622e-06	2.53772e-11	-2.53772e-11	4.62790e-07	0	4.82560e-19	1.42477e-06	1.48560e-06	0
force-save-2023.07.02-18.11.41.773.jpk-force	29	5.40000e-06	-3.00000e-06	2.29071e-09	-3.11033e-05	2.33791e-06	2.49283e-11	-2.49283e-11	3.75602e-07	0	9.48918e-19	3.14885e-07	4.29203e-07	0
force-save-2023.07.02-18.11.45.990.jpk-force	29	5.40000e-06	-3.00000e-06	2.25434e-09	-2.66630e-05	2.26618e-06	2.19085e-11	-2.19085e-11	5.82623e-07	0	2.98666e-19	2.51323e-07	2.85677e-07	0
force-save-2023.07.02-18.11.48.211.jpk-force	30	5.40000e-06	-1.80000e-06	2.23345e-09	-2.55889e-05	2.14342e-06	2.04141e-11	-2.04141e-11	1.82937e-06	0	3.41760e-19	1.41945e-06	1.47554e-06	0
force-save-2023.07.02-18.11.54.555.jpk-force	30	5.40000e-06	-1.80000e-06	2.19271e-09	-2.33148e-05	2.18432e-06	2.22273e-11	-2.22273e-11	6.96767e-07	0	7.57271e-19	9.42881e-07	1.02164e-06	0
force-save-2023.07.02-18.11.58.777.jpk-force	30	5.40000e-06	-1.80000e-06	2.18360e-09	-2.32315e-05	2.10442e-06	1.83850e-11	-1.83850e-11	3.15710e-07	0	3.06484e-19	9.21078e-07	9.72511e-07	0
force-save-2023.07.02-18.12.03.008.jpk-force	30	5.40000e-06	-1.80000e-06	2.16935e-09	-2.32877e-05	2.02677e-06	1.78062e-11	-1.78062e-11	7.67383e-07	0	3.70374e-19	7.21238e-07	7.68562e-07	0
force-save-2023.07.02-18.12.07.240.jpk-force	30	5.40000e-06	-1.80000e-06	2.14391e-09	-2.35650e-05	2.02487e-06	1.77870e-11	-1.77870e-11	8.28308e-07	0	1.79394e-19	8.14713e-07	8.48153e-07	0
force-save-2023.07.02-18.12.15.622.jpk-force	31	4.20000e-06	-1.80000e-06	2.13890e-09	-2.24732e-05	2.21665e-06	1.99910e-11	-1.99910e-11	3.73521e-07	0	6.37681e-19	1.67147e-06	1.75619e-06	0
force-save-2023.07.02-18.12.19.858.jpk-force	31	4.20000e-06	-1.80000e-06	2.08833e-09	-2.15744e-05	2.10650e-06	2.11781e-11	-2.11781e-11	1.31786e-06	0	2.38578e-19	1.59702e-06	1.64531e-06	0
force-save-2023.07.02-18.12.24.093.jpk-force	31	4.20000e-06	-1.80000e-06	2.07250e-09	-2.17743e-05	2.04731e-06	8.82668e-11	-8.82668e-11	1.19746e-06	0	1.24558e-17	8.08946e-07	1.21074e-06	1
force-save-2023.07.02-18.12.28.325.jpk-force	31	4.20000e-06	-1.80000e-06	2.04091e-09	-1.86769e-05	2.19124e-06	2.57765e-11	-2.57765e-11	7.03678e-07	0	1.33836e-18	6.58915e-07	7.88039e-07	0
force-save-2023.07.02-18.12.30.548.jpk-force	32	3.00000e-06	-1.80000e-06	2.03958e-09	-2.38049e-05	2.06412e-06	2.31116e-11	-2.31116e-11	1.65594e-06	0	1.04510e-18	1.26870e-06	1.39322e-06	0
force-save-2023.07.02-18.12.36.716.jpk-force	32	3.00000e-06	-1.80000e-06	1.99914e-09	-2.19756e-05	2.04170e-06	2.17724e-11	-2.17724e-11	1.86828e-06	0	9.35930e-19	1.52637e-06	1.63710e-06	0
force-save-2023.07.02-18.12.40.953.jpk-force	32	3.00000e-06	-1.80000e-06	1.95763e-09	-1.44645e-05	2.14048e-06	1.89574e-11	-1.89574e-11	1.07106e-06	0	3.62364e-19	1.70410e-06	1.75932e-06	0
force-save-2023.07.02-18.12.51.390.jpk-force	33	1.80000e-06	-1.80000e-06	1.95785e-09	-3.04649e-05	1.94629e-06	2.51347e-11	-2.51347e-11	8.34745e-07	0	1.76518e-18	3.81439e-07	5.59745e-07	0
force-save-2023.07.02-18.12.57.778.jpk-force	33	1.80000e-06	-1.80000e-06	1.91028e-09	-2.31705e-05	1.97224e-06	2.22717e-11	-2.22717e-11	1.09824e-07	1	4.90580e-19	6.40548e-07	7.16713e-07	0
force-save-2023.07.02-18.13.02.014.jpk-force	33	1.80000e-06	-1.80000e-06	1.89292e-09	-2.45487e-05	1.94172e-06	2.35978e-11	-2.35978e-11	2.37266e-07	1	7.13218e-19	1.10570e-06	1.21053e-06	0
force-save-2023.07.02-18.13.06.275.jpk-force	33	1.80000e-06	-1.80000e-06	1.85063e-09	-1.89763e-05	2.03615e-06	1.81539e-11	-1.81539e-11	6.76951e-07	0	1.92995e-19	1.24248e-06	1.27609e-06	0
force-save-2023.07.02-18.13.10.468.jpk-force	33	1.80000e-06	-1.80000e-06	1.84147e-09	-2.35946e-05	1.88167e-06	2.30142e-11	-2.30142e-11	1.17666e-06	0	2.16710e-19	1.16220e-06	1.19180e-06	0
force-save-2023.07.02-18.13.12.690.jpk-force	34	6.00000e-07	-1.80000e-06	1.83494e-09	-2.54960e-05	1.98183e-06	2.47209e-11	-2.47209e-11	1.10529e-06	0	4.61135e-19	1.04657e-06	1.11362e-06	0
force-save-2023.07.02-18.13.18.831.jpk-force	34	6.00000e-07	-1.80000e-06	1.81678e-09	-2.98623e-05	1.91829e-06	2.46435e-11	-2.46435e-11	4.63040e-07	0	3.29125e-19	4.22184e-07	4.60926e-07	0
force-save-2023.07.02-18.13.23.059.jpk-force	34	6.00000e-07	-1.80000e-06	1.75950e-09	-1.91777e-05	1.89478e-06	1.77472e-11	-1.77472e-11	1.52489e-06	0	2.32405e-19	1.49302e-06	1.53044e-06	0
force-save-2023.07.02-18.13.31.524.jpk-force	34	6.00000e-07	-1.80000e-06	1.71957e-09	-3.01078e-05	1.91493e-06	2.37107e-11	-2.37107e-11	5.01738e-07	0	1.48202e-18	1.65448e-06	1.81201e-06	0
force-save-2023.07.02-18.13.33.747.jpk-force	35	-6.00000e-07	-1.80000e-06	1.66098e-09	-2.08310e-05	1.91064e-06	2.10271e-11	-2.10271e-11	6.54254e-07	0	6.51468e-19	6.23938e-07	7.03919e-07	0
force-save-2023.07.02-18.13.40.045.jpk-force	35	-6.00000e-07	-1.80000e-06	1.68466e-09	-2.49660e-05	1.92498e-06	2.53473e-11	-2.53473e-11	1.47336e-06	0	8.45566e-19	1.40673e-06	1.50094e-06	0
force-save-2023.07.02-18.13.54.921.jpk-force	36	-1.80000e-06	-1.80000e-06	1.64306e-09	-2.69151e-05	2.15394e-06	1.96596e-11	-1.96596e-11	9.43902e-07	0	2.04284e-19	5.93144e-07	6.25842e-07	0
force-save-2023.07.02-18.14.00.918.jpk-force	36	-1.80000e-06	-1.80000e-06	1.63126e-09	-2.79775e-05	2.09647e-06	1.74036e-11	-1.74036e-11	7.30673e-07	0	1.30528e-19	1.67679e-06	1.70648e-06	0
force-save-2023.07.02-18.14.05.158.jpk-force	36	-1.80000e-06	-1.80000e-06	1.60802e-09	-2.71804e-05	1.94514e-06	1.95845e-11	-1.95845e-11	1.17359e-06	0	2.10858e-19	1.46068e-06	1.49569e-06	0
force-save-2023.07.02-18.14.09.401.jpk-force	36	-1.80000e-06	-1.80000e-06	1.57802e-09	-2.55281e-05	2.05837e-06	2.05908e-11	-2.05908e-11	1.59631e-06	0	2.90861e-19	1.58218e-06	1.62357e-06	0
force-save-2023.07.02-18.14.13.633.jpk-force	36	-1.80000e-06	-1.80000e-06	1.55882e-09	-2.45906e-05	1.96502e-06	2.62669e-11	-2.62669e-11	1.70390e-06	0	1.87337e-18	1.66013e-06	1.82945e-06	0
force-save-2023.07.02-18.14.30.204.jpk-force	37	-3.00000e-06	-1.80000e-06	1.46988e-09	-2.27233e-05	2.45518e-06	2.66073e-11	-2.66073e-11	4.04436e-07	0	1.45476e-18	3.25073e-07	4.63291e-07	0
force-save-2023.07.02-18.14.34.440.jpk-force	37	-3.00000e-06	-1.80000e-06	1.43206e-09	-1.53651e-05	2.30494e-06	4.40287e-11	-4.40287e-11	1.01113e-06	0	4.31802e-18	8.43164e-07	1.06089e-06	1
force-save-2023.07.02-18.14.36.656.jpk-force	38	-4.20000e-06	-1.80000e-06	1.42642e-09	-1.81420e-05	2.72680e-06	2.79938e-11	-2.79938e-11	3.81670e-07	0	1.35373e-18	3.01473e-07	4.02473e-07	0
force-save-2023.07.02-18.14.42.583.jpk-force	38	-4.20000e-06	-1.80000e-06	1.43893e-09	-2.73518e-05	2.63514e-06	2.08640e-11	-2.08640e-11	3.75479e-07	0	3.36389e-19	3.39507e-07	3.87364e-07	0
force-save-2023.07.02-18.14.46.818.jpk-force	38	-4.20000e-06	-1.80000e-06	1.41454e-09	-2.48314e-05	2.61321e-06	2.05710e-11	-2.05710e-11	1.17010e-07	1	1.96974e-19	9.61814e-08	1.19151e-07	0
force-save-2023.07.02-18.14.51.055.jpk-force	38	-4.20000e-06	-1.80000e-06	1.38299e-09	-2.19674e-05	2.62364e-06	1.79771e-11	-1.79771e-11	4.34440e-07	0	1.90934e-19	4.84185e-07	5.15601e-07	0
force-save-2023.07.02-18.14.55.296.jpk-force	38	-4.20000e-06	-1.80000e-06	1.35814e-09	-2.32921e-05	2.54669e-06	1.98668e-11	-1.98668e-11	1.24310e-06	0	3.75119e-19	1.22317e-06	1.27347e-06	0
force-save-2023.07.02-18.14.57.519.jpk-force	39	-5.40000e-06	-1.80000e-06	1.35066e-09	-2.71019e-05	2.80999e-06	2.03236e-11	-2.03236e-11	2.85382e-07	1	7.81491e-19	2.44723e-07	3.33039e-07	0
force-save-2023.07.02-18.15.03.519.jpk-force	39	-5.40000e-06	-1.80000e-06	1.33929e-09	-3.12550e-05	2.74705e-06	2.74888e-11	-2.74888e-11	5.32788e-07	0	1.64739e-18	5.03376e-07	6.57042e-07	0
force-save-2023.07.02-18.15.07.744.jpk-force	39	-5.40000e-06	-1.80000e-06	1.28717e-09	-1.72574e-05	2.67708e-06	2.34371e-11	-2.34371e-11	4.05505e-07	0	1.00902e-18	1.72350e-06	1.84016e-06	0
force-save-2023.07.02-18.15.11.985.jpk-force	39	-5.40000e-06	-1.80000e-06	1.29197e-09	-2.28915e-05	2.73996e-06	2.07024e-11	-2.07024e-11	2.51189e-07	1	5.43950e-19	1.64598e-06	1.72295e-06	0
force-save-2023.07.02-18.15.16.212.jpk-force	39	-5.40000e-06	-1.80000e-06	1.28180e-09	-2.37129e-05	2.68870e-06	2.12325e-11	-2.12325e-11	1.47845e-06	0	3.78565e-19	1.47261e-06	1.52558e-06	0
force-save-2023.07.02-18.15.18.431.jpk-force	40	-5.40000e-06	-6.00000e-07	1.24213e-09	-1.61013e-05	2.49107e-06	2.52368e-11	-2.52368e-11	1.97029e-07	1	4.09194e-19	9.89644e-07	1.04883e-06	0
force-save-2023.07.02-18.15.24.873.jpk-force	40	-5.40000e-06	-6.00000e-07	1.26041e-09	-2.20635e-05	2.43156e-06	2.00282e-11	-2.00282e-11	9.67792e-07	0	2.51544e-19	1.31764e-06	1.35852e-06	0
force-save-2023.07.02-18.15.29.121.jpk-force	40	-5.40000e-06	-6.00000e-07	1.22330e-09	-2.01675e-05	2.51551e-06	2.26545e-11	-2.26545e-11	3.88500e-07	0	1.72581e-19	6.50336e-07	6.79880e-07	0
force-save-2023.07.02-18.15.33.355.jpk-force	40	-5.40000e-06	-6.00000e-07	1.15580e-09	-3.78386e-06	2.35371e-06	3.90864e-11	-3.90864e-11	1.85698e-06	0	3.56905e-18	4.26946e-08	2.75848e-07	0
force-save-2023.07.02-18.15.37.593.jpk-force	40	-5.40000e-06	-6.00000e-07	1.16885e-09	-1.88690e-05	2.44341e-06	2.50729e-11	-2.50729e-11	6.52231e-07	0	6.84243e-19	5.94638e-07	6.55922e-07	0
force-save-2023.07.02-18.15.39.825.jpk-force	41	-4.20000e-06	-6.00000e-07	1.15182e-09	-1.93126e-05	1.96578e-06	2.86422e-11	-2.86422e-11	2.50449e-07	1	9.39321e-19	2.11657e-07	2.96054e-07	0
force-save-2023.07.02-18.15.46.320.jpk-force	41	-4.20000e-06	-6.00000e-07	1.14817e-09	-2.04185e-05	2.04083e-06	1.84592e-11	-1.84592e-11	1.36659e-06	0	1.42472e-19	9.84502e-07	1.00995e-06	0
force-save-2023.07.02-18.15.50.563.jpk-force	41	-4.20000e-06	-6.00000e-07	1.13112e-09	-2.01361e-05	1.97179e-06	2.44883e-11	-2.44883e-11	1.07891e-07	1	6.38233e-19	6.21887e-08	1.12555e-07	0
force-save-2023.07.02-18.15.54.798.jpk-force	41	-4.20000e-06	-6.00000e-07	1.11620e-09	-2.26973e-05	1.87813e-06	2.66586e-11	-2.66586e-11	1.80283e-07	1	7.47751e-19	1.16868e-07	1.82106e-07	0
force-save-2023.07.02-18.15.59.040.jpk-force	41	-4.20000e-06	-6.00000e-07	1.09193e-09	-2.09919e-05	1.88689e-06	2.23341e-11	-2.23341e-11	1.43913e-06	0	7.47532e-19	1.40637e-06	1.49438e-06	0
