Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.03.06-15.38.24.187.jpk-force,0,1.71e-07,1.71e-06,2099.9999999999995,126.0,,19.799999999999997,254.0,1.73e-09
force-save-2023.03.06-14.55.48.800.jpk-force,0,3.16e-12,1.47e-06,1699.9999999999998,235.00000000000003,,19.7,245.99999999999997,2.75e-09
force-save-2023.03.06-14.54.26.273.jpk-force,1,3.4e-07,1.09e-06,1340.0,31.800000000000004,,19.599999999999998,956.0,8.38e-09
force-save-2023.03.06-15.24.38.530.jpk-force,0,1.06e-07,6.99e-07,927.9999999999999,144.0,,19.1,133.0,1.51e-09
force-save-2023.03.06-15.20.20.755.jpk-force,1,1.25e-06,2.22e-06,2749.9999999999995,135.0,,18.7,220.0,1.09e-09
force-save-2023.03.06-15.08.25.504.jpk-force,0,3.76e-11,3.01e-07,375.99999999999994,219.0,,18.599999999999998,127.0,4.13e-09
force-save-2023.03.06-14.55.14.335.jpk-force,2,6.09e-07,1.36e-06,1899.9999999999998,62.800000000000004,,18.5,236.0,1.12e-09
force-save-2023.03.06-15.17.01.320.jpk-force,8,2.72e-06,2.82e-06,3259.9999999999995,29.5,,18.1,1940.0,9.78e-09
force-save-2023.03.06-15.00.30.707.jpk-force,0,1.19e-10,1.5e-06,2319.9999999999995,44.400000000000006,,18.0,222.0,6.97e-10
force-save-2023.03.06-15.16.20.063.jpk-force,0,1.16e-10,5.63e-07,1250.0,71.3,,17.900000000000002,59.099999999999994,2.63e-10
force-save-2023.03.06-15.17.01.320.jpk-force,4,2.34e-06,2.54e-06,2819.9999999999995,145.0,,16.700000000000003,740.0,6.52e-09
force-save-2023.03.06-15.08.18.638.jpk-force,0,2.84e-08,2.84e-07,373.0,140.0,,15.6,142.0,3.86e-09
force-save-2023.03.06-14.55.41.924.jpk-force,1,3.14e-07,2.39e-06,2969.9999999999995,119.0,,15.500000000000002,239.0,1.06e-09
