Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2022.07.07-19.10.17.224.jpk-force,2,8.43e-07,1.07e-06,1340.0,70.30000000000001,,24.0,402.0,3.82e-09
force-save-2022.07.07-18.37.44.608.jpk-force,1,5.82e-07,8.27e-07,897.0,671.0,,15.100000000000001,256.0,8.36e-09
force-save-2022.07.07-18.32.41.760.jpk-force,1,3.44e-07,1.87e-06,2299.9999999999995,236.0,,14.2,130.0,7.68e-10
force-save-2022.07.07-18.49.57.849.jpk-force,1,1.45e-06,2.25e-06,3459.9999999999995,25.6,,13.6,394.0,8.4e-10
force-save-2022.07.07-18.37.44.608.jpk-force,2,8.5e-07,9.61e-07,1010.0,2050.0,,12.8,195.0,8.65e-09
force-save-2022.07.07-18.31.00.158.jpk-force,0,1.23e-11,1.5e-06,1989.9999999999998,209.0,,12.200000000000001,93.60000000000001,5.01e-10
force-save-2022.07.07-18.37.51.477.jpk-force,1,2.53e-07,2.21e-06,2590.0,226.0,,11.8,226.0,1.57e-09
force-save-2022.07.07-18.37.44.608.jpk-force,6,1.59e-06,1.74e-06,1849.9999999999998,1560.0,,11.4,206.0,4.92e-09
force-save-2022.07.07-18.58.19.397.jpk-force,1,4.95e-08,2.99e-07,325.99999999999994,1720.0,,11.100000000000001,88.80000000000001,7.74e-09
force-save-2022.07.07-18.33.54.233.jpk-force,0,5.41e-08,4.14e-07,468.99999999999994,1390.0,,10.5,56.199999999999996,2.65e-09
force-save-2022.07.07-18.32.07.322.jpk-force,1,6.08e-07,2.3e-06,3199.9999999999995,632.0,,9.64,23.9,6.85e-11
force-save-2022.07.07-18.42.40.573.jpk-force,4,4.61e-07,6.2e-07,651.9999999999999,2680.0,,9.59,160.0,1.08e-08
force-save-2022.07.07-18.40.47.090.jpk-force,0,2.04e-07,2.03e-06,2680.0,149.0,,9.58,130.0,5.09e-10
force-save-2022.07.07-18.31.12.290.jpk-force,0,7.46e-11,2.82e-07,553.0,42.8,,9.58,125.00000000000001,1.26e-09
force-save-2022.07.07-18.37.55.035.jpk-force,0,4.41e-10,2.19e-06,3120.0,101.0,,9.379999999999999,135.0,3.72e-10
force-save-2022.07.07-18.50.07.960.jpk-force,0,6.92e-08,6.8e-07,963.9999999999999,249.00000000000003,,9.14,55.0,5.01e-10
force-save-2022.07.07-18.32.00.417.jpk-force,0,5.92e-08,5.85e-07,1149.9999999999998,94.10000000000001,,9.1,57.1,2.82e-10
force-save-2022.07.07-18.49.21.987.jpk-force,0,1.45e-10,9.11e-07,1279.9999999999998,160.0,,8.979999999999999,87.8,6.05e-10
force-save-2022.07.07-18.37.20.630.jpk-force,0,1.14e-10,7.64e-07,1120.0,109.0,,8.91,109.0,7.59e-10
force-save-2022.07.07-18.42.40.573.jpk-force,2,2.21e-07,3.44e-07,416.99999999999994,309.0,,8.84,118.0,3.96e-09
force-save-2022.07.07-18.33.30.043.jpk-force,0,4.41e-11,1.05e-06,1349.9999999999998,467.00000000000006,,8.68,48.3,4.09e-10
force-save-2022.07.07-18.38.53.365.jpk-force,0,3.46e-11,3.25e-07,694.9999999999999,100.0,,8.61,45.300000000000004,3.57e-10
force-save-2022.07.07-18.32.55.564.jpk-force,2,2.23e-07,3.14e-07,424.99999999999994,121.0,,8.540000000000001,140.0,3.03e-09
force-save-2022.07.07-18.34.38.829.jpk-force,0,3.11e-08,5.6e-07,622.0,2280.0,,8.469999999999999,45.8,1.93e-09
force-save-2022.07.07-18.41.11.125.jpk-force,0,3.55e-11,7.12e-07,1789.9999999999998,287.0,,8.469999999999999,12.0,3.68e-11
force-save-2022.07.07-18.37.44.608.jpk-force,4,1.17e-06,1.46e-06,1569.9999999999998,3819.9999999999995,,8.37,65.0,1.72e-09
force-save-2022.07.07-18.31.32.893.jpk-force,0,1.83e-11,3.32e-07,684.0,85.8,,8.260000000000002,56.599999999999994,4.59e-10
force-save-2022.07.07-18.39.00.249.jpk-force,0,4.56e-11,2.09e-06,2689.9999999999995,256.0,,8.25,90.0,3.9e-10
force-save-2022.07.07-18.32.27.992.jpk-force,0,4.76e-12,2.84e-06,3249.9999999999995,1230.0,,8.24,53.3,3.45e-10
force-save-2022.07.07-18.39.55.416.jpk-force,0,3.47e-12,1.25e-06,2869.9999999999995,75.60000000000001,,8.11,52.800000000000004,1e-10
