Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.03.06-16.03.13.527.jpk-force,6,2.54e-06,2.67e-06,2829.9999999999995,244.99999999999997,,24.200000000000003,1260.0,1.66e-08
force-save-2023.03.06-16.24.32.238.jpk-force,1,2.4e-07,4.79e-07,526.9999999999999,701.0,,23.8,176.0,8.7e-09
force-save-2023.03.06-16.06.29.932.jpk-force,5,2.2e-07,3.56e-07,375.99999999999994,3790.0000000000005,,23.7,97.3,1.16e-08
force-save-2023.03.06-17.17.54.785.jpk-force,1,8.88e-07,2.01e-06,2759.9999999999995,98.9,,22.9,161.0,5.45e-10
force-save-2023.03.06-17.18.43.045.jpk-force,1,7.92e-07,3.22e-06,3569.9999999999995,335.0,,22.8,337.0,2.54e-09
force-save-2023.03.06-17.21.47.958.jpk-force,0,2.57e-08,2.58e-07,349.99999999999994,29.900000000000002,,22.6,561.0,1.24e-08
force-save-2023.03.06-17.18.01.639.jpk-force,1,3.56e-06,3.62e-06,3759.9999999999995,899.0,,22.5,943.0,1.46e-08
force-save-2023.03.06-17.11.37.086.jpk-force,3,1.55e-06,1.68e-06,1759.9999999999998,1030.0,,20.599999999999998,561.0,1.57e-08
force-save-2023.03.06-16.02.55.884.jpk-force,13,1.92e-06,2.11e-06,2569.9999999999995,40.6,,19.900000000000002,840.0,4.81e-09
force-save-2023.03.06-16.15.38.895.jpk-force,1,2.14e-07,4.1e-07,491.0,67.8,,19.5,587.0,1.47e-08
force-save-2023.03.06-16.03.13.527.jpk-force,8,2.74e-06,2.83e-06,3009.9999999999995,253.0,,19.4,1180.0,1.5e-08
force-save-2023.03.06-16.24.07.514.jpk-force,4,7.68e-07,1.05e-06,1300.0,64.0,,19.4,478.0,4.83e-09
force-save-2023.03.06-16.30.27.344.jpk-force,0,3.39e-07,3.38e-06,4689.999999999999,53.1,,18.3,284.0,5.74e-10
force-save-2023.03.06-17.19.03.646.jpk-force,5,9.14e-07,9.86e-07,1080.0,194.0,,18.1,738.0,1.55e-08
force-save-2023.03.06-16.03.13.527.jpk-force,3,2.39e-06,2.46e-06,2680.0,165.0,,17.900000000000002,894.0,9.9e-09
force-save-2023.03.06-16.03.13.527.jpk-force,2,2.21e-06,2.38e-06,2669.9999999999995,144.0,,17.4,644.0,6.07e-09
force-save-2023.03.06-16.18.14.332.jpk-force,0,3.69e-07,3.68e-06,4709.999999999999,197.0,,17.4,121.0,3.19e-10
force-save-2023.03.06-16.03.13.527.jpk-force,1,1.48e-06,2.18e-06,2860.0,74.8,,17.2,273.0,1.12e-09
force-save-2023.03.06-16.28.18.873.jpk-force,3,3.62e-06,3.95e-06,4429.999999999999,66.0,,16.700000000000003,1340.0,6.99e-09
force-save-2023.03.06-17.19.10.549.jpk-force,3,1.22e-06,1.47e-06,1579.9999999999998,225.0,,16.599999999999998,837.0,1.43e-08
force-save-2023.03.06-16.56.24.350.jpk-force,0,8.27e-08,8.25e-07,1159.9999999999998,59.89999999999999,,16.2,236.0,1.83e-09
force-save-2023.03.06-16.12.21.152.jpk-force,1,1.87e-06,4.23e-06,4789.999999999999,424.0,,16.1,183.0,9.35e-10
force-save-2023.03.06-17.18.36.107.jpk-force,1,7.19e-07,7.73e-07,860.9999999999999,164.0,,16.0,628.0,1.43e-08
force-save-2023.03.06-17.02.50.783.jpk-force,7,1.12e-06,1.86e-06,1939.9999999999998,613.0,,15.700000000000001,946.9999999999999,2.1e-08
force-save-2023.03.06-16.25.25.580.jpk-force,1,1.9e-06,4.16e-06,4619.999999999999,605.0,,15.500000000000002,177.0,1.1e-09
force-save-2023.03.06-16.28.18.873.jpk-force,2,1.63e-06,3.58e-06,4539.999999999999,51.6,,15.500000000000002,492.99999999999994,1.39e-09
