Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.03.06-18.59.22.442.jpk-force,3.0,7.2e-07,8.1e-07,1399.9999999999998,38.0,,10.0,200.0,9.1e-10
force-save-2023.03.06-19.37.12.303.jpk-force,0.0,2e-11,2.3e-07,399.99999999999994,99.0,,9.799999999999999,66.0,9.1e-10
force-save-2023.03.06-19.19.08.822.jpk-force,0.0,4e-11,7.8e-07,969.9999999999999,250.00000000000003,,9.799999999999999,120.0,1.6e-09
force-save-2023.03.06-18.57.36.569.jpk-force,0.0,7.2e-08,7.1e-07,859.9999999999999,710.0,,9.7,53.0,9.2e-10
force-save-2023.03.06-19.00.01.518.jpk-force,3.0,8.5e-07,1.5e-06,2200.0,110.0,,9.7,120.0,4.3e-10
force-save-2023.03.06-19.25.44.353.jpk-force,0.0,2.8e-08,2.6e-07,409.99999999999994,80.0,,9.6,120.0,1.8e-09
force-save-2023.03.06-19.02.43.586.jpk-force,0.0,2.1e-08,2.1e-07,339.99999999999994,210.0,,9.6,38.0,6.5e-10
force-save-2023.03.06-19.07.16.688.jpk-force,1.0,7.3e-07,9.2e-07,1699.9999999999998,55.0,,9.5,110.0,3.8e-10
force-save-2023.03.06-19.21.33.183.jpk-force,0.0,1.6e-10,2.3e-07,309.99999999999994,550.0,,9.5,36.0,1.2e-09
force-save-2023.03.06-19.07.08.273.jpk-force,1.0,3.1e-07,4.9e-07,899.9999999999999,51.0,,9.2,120.0,7.6e-10
force-save-2023.03.06-19.10.36.343.jpk-force,0.0,1.6e-07,1.5e-06,2600.0,130.0,,9.2,60.99999999999999,1.5e-10
force-save-2023.03.06-19.12.42.130.jpk-force,4.0,6.8e-07,6.9e-07,909.9999999999999,140.0,,9.1,150.0,1.6e-09
force-save-2023.03.06-19.00.04.401.jpk-force,2.0,6e-07,6.7e-07,909.9999999999999,120.0,,9.1,140.0,1.3e-09
force-save-2023.03.06-18.57.15.246.jpk-force,0.0,7.4e-08,6e-07,709.9999999999999,1200.0,,9.1,37.0,8.9e-10
force-save-2023.03.06-19.25.49.875.jpk-force,0.0,2.3e-08,2.3e-07,419.99999999999994,53.0,,9.1,110.0,1.4e-09
