Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2022.09.22-19.52.38.580.jpk-force,0,1.25e-07,2.3e-06,2669.9999999999995,81.7,,24.0,701.0,4.57e-09
force-save-2022.09.22-20.07.37.427.jpk-force,0,1.35e-12,1e-06,1190.0,132.0,,23.7,336.0,4.35e-09
force-save-2022.09.22-19.49.12.837.jpk-force,0,1.36e-07,1.36e-06,1639.9999999999998,139.0,,23.5,287.0,2.63e-09
force-save-2022.09.22-20.04.39.836.jpk-force,0,2.25e-11,6.66e-07,798.9999999999999,119.0,,20.1,332.0,5.8e-09
force-save-2022.09.22-19.53.50.772.jpk-force,0,5.03e-08,5.01e-07,648.9999999999999,33.199999999999996,,20.0,659.0,9.2e-09
force-save-2022.09.22-19.51.40.193.jpk-force,1,1.7e-07,1.06e-06,1250.0,173.0,,18.5,280.0,3.64e-09
force-save-2022.09.22-20.04.59.112.jpk-force,1,2.45e-07,9.12e-07,1169.9999999999998,77.6,,18.4,304.0,2.86e-09
force-save-2022.09.22-19.55.22.312.jpk-force,1,4.63e-07,8.17e-07,965.0,265.0,,16.1,173.0,2.87e-09
force-save-2022.09.22-20.05.37.918.jpk-force,0,6.2e-08,6.07e-07,737.9999999999999,194.0,,13.6,183.0,3.41e-09
force-save-2022.09.22-20.06.30.737.jpk-force,0,3.35e-08,3.32e-07,412.99999999999994,188.0,,13.4,153.0,4.42e-09
force-save-2022.09.22-19.51.48.508.jpk-force,0,1.32e-11,5.1e-07,613.9999999999999,277.0,,12.100000000000001,137.0,3.18e-09
force-save-2022.09.22-19.55.22.312.jpk-force,0,4.48e-11,4.09e-07,466.99999999999994,1120.0,,11.9,61.3,2.64e-09
force-save-2022.09.22-19.53.28.686.jpk-force,0,5.56e-08,8.18e-07,1499.9999999999998,191.0,,10.799999999999999,32.300000000000004,1.21e-10
force-save-2022.09.22-20.04.59.112.jpk-force,0,1.36e-11,1.66e-07,347.0,166.0,,9.799999999999999,28.4,4.41e-10
force-save-2022.09.22-20.04.48.029.jpk-force,0,1.14e-11,2.74e-07,352.99999999999994,234.00000000000003,,8.93,96.0,2.9e-09
force-save-2022.09.22-19.53.53.668.jpk-force,0,4.28e-08,1.98e-06,2240.0,760.0,,8.83,101.0,9.97e-10
force-save-2022.09.22-19.54.37.934.jpk-force,0,4.48e-08,4.42e-07,505.0,716.0,,8.67,95.8,3.73e-09
force-save-2022.09.22-19.53.17.631.jpk-force,0,3.18e-10,5.66e-07,1069.9999999999998,154.0,,8.389999999999999,37.800000000000004,1.97e-10
force-save-2022.09.22-19.49.46.251.jpk-force,0,6.68e-08,6.59e-07,773.9999999999999,383.0,,8.08,128.0,2.76e-09
force-save-2022.09.22-20.01.06.156.jpk-force,0,4.96e-08,4.85e-07,570.0,547.0,,7.959999999999999,88.0,2.54e-09
force-save-2022.09.22-20.07.37.427.jpk-force,1,1.01e-06,1.02e-06,1909.9999999999998,27.2,,7.81,216.0,6.38e-10
force-save-2022.09.22-19.55.52.688.jpk-force,0,4.04e-11,3.61e-07,455.99999999999994,412.0,,7.65,62.2,1.61e-09
force-save-2022.09.22-20.00.32.778.jpk-force,0,6.92e-12,2.73e-07,330.0,384.0,,7.569999999999999,95.7,4e-09
force-save-2022.09.22-19.54.12.914.jpk-force,0,1.88e-08,3.29e-07,406.99999999999994,1280.0,,7.359999999999999,23.8,7.7e-10
force-save-2022.09.22-19.50.03.177.jpk-force,0,8.7e-13,6.42e-07,833.9999999999999,325.0,,6.9799999999999995,66.2,8.49e-10
force-save-2022.09.22-19.50.52.901.jpk-force,0,1.24e-07,1.23e-06,1489.9999999999998,369.0,,6.8100000000000005,98.7,9.69e-10
force-save-2022.09.22-19.55.44.485.jpk-force,0,2.53e-11,2.65e-07,376.99999999999994,257.0,,6.7,53.0,1.15e-09
force-save-2022.09.22-19.52.21.856.jpk-force,0,3.57e-08,3.59e-07,436.99999999999994,816.0,,6.67,43.199999999999996,1.4e-09
force-save-2022.09.22-19.56.03.788.jpk-force,0,1.55e-11,4.22e-07,487.99999999999994,1940.0,,6.63,30.9,1.22e-09
force-save-2022.09.22-20.07.51.189.jpk-force,0,8.78e-08,8.72e-07,959.9999999999998,3740.0,,6.61,33.1,9.9e-10
force-save-2022.09.22-19.55.19.415.jpk-force,0,1.37e-11,4.81e-07,568.9999999999999,1090.0,,6.109999999999999,41.8,1.21e-09
force-save-2022.09.22-19.48.11.785.jpk-force,0,6.18e-08,5.86e-07,759.9999999999999,424.0,,5.9799999999999995,51.6,7.46e-10
force-save-2022.09.22-20.12.54.974.jpk-force,8,4.2e-07,1.37e-06,1799.9999999999998,388.0,,5.93,52.199999999999996,3.05e-10
force-save-2022.09.22-19.50.41.803.jpk-force,0,9.69e-08,9.63e-07,1329.9999999999998,465.0,,5.66,33.9,2.32e-10
force-save-2022.09.22-20.12.54.974.jpk-force,5,2.43e-07,2.52e-07,337.99999999999994,67.5,,5.53,267.0,6.82e-09
force-save-2022.09.22-20.12.54.974.jpk-force,6,2.56e-07,2.63e-07,351.99999999999994,96.80000000000001,,5.35,188.0,4.84e-09
force-save-2022.09.22-20.12.54.974.jpk-force,7,2.7e-07,3.09e-07,397.99999999999994,81.6,,4.87,274.0,6.76e-09
