Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2022.07.07-20.43.16.595.jpk-force,0,7.16e-07,2.54e-06,2789.9999999999995,950.9999999999999,,19.0,138.0,1.59e-09
force-save-2022.07.07-20.25.54.124.jpk-force,0,2.94e-07,2.94e-06,3909.9999999999995,69.5,,14.900000000000002,270.0,7.56e-10
force-save-2022.07.07-20.12.17.010.jpk-force,0,2.31e-07,2.3e-06,3049.9999999999995,124.00000000000001,,14.4,157.0,5.88e-10
force-save-2022.07.07-20.23.34.828.jpk-force,0,5.3e-07,2.48e-06,2929.9999999999995,396.0,,14.4,118.0,7.22e-10
force-save-2022.07.07-20.42.47.731.jpk-force,1,7.1e-07,1.86e-06,2009.9999999999995,3100.0,,14.3,63.60000000000001,1.27e-09
force-save-2022.07.07-20.40.32.787.jpk-force,0,2.5e-07,2.5e-06,3229.9999999999995,104.0,,14.2,212.0,7.89e-10
force-save-2022.07.07-20.36.28.674.jpk-force,0,2.31e-07,2.31e-06,2950.0,114.0,,14.0,209.0,8.71e-10
force-save-2022.07.07-20.16.13.345.jpk-force,3,1.96e-06,3.65e-06,4329.999999999999,326.0,,13.6,137.0,5.53e-10
force-save-2022.07.07-20.25.29.646.jpk-force,1,6.06e-07,2.69e-06,3309.9999999999995,194.0,,13.200000000000001,163.0,7.32e-10
force-save-2022.07.07-20.10.29.514.jpk-force,3,2.84e-06,4.52e-06,4969.999999999999,1190.0,,13.1,105.0,6.95e-10
force-save-2022.07.07-20.22.45.370.jpk-force,0,4.43e-07,4.35e-06,4670.0,3240.0,,12.8,66.89999999999999,5.92e-10
force-save-2022.07.07-20.22.28.882.jpk-force,0,1.83e-07,1.83e-06,3099.9999999999995,83.19999999999999,,12.8,89.89999999999999,1.92e-10
force-save-2022.07.07-20.41.01.318.jpk-force,0,3.54e-07,3.5e-06,4279.999999999999,299.0,,12.700000000000001,113.0,4.09e-10
force-save-2022.07.07-20.10.43.976.jpk-force,0,1.87e-07,1.85e-06,2229.9999999999995,321.0,,12.4,121.0,9.05e-10
force-save-2022.07.07-20.10.19.910.jpk-force,1,6.99e-07,1.47e-06,1809.9999999999998,298.0,,12.200000000000001,105.0,8.89e-10
force-save-2022.07.07-20.21.35.238.jpk-force,1,9.25e-07,1.99e-06,2779.9999999999995,26.7,,12.200000000000001,553.0,1.83e-09
force-save-2022.07.07-20.10.43.976.jpk-force,2,2.19e-06,3.78e-06,4480.0,313.0,,12.0,144.0,5.9e-10
force-save-2022.07.07-20.12.17.010.jpk-force,4,3.82e-06,4.57e-06,4940.0,1780.0,,11.9,106.0,8.66e-10
force-save-2022.07.07-20.09.32.737.jpk-force,1,1.76e-06,4.08e-06,4509.999999999999,930.0,,11.8,122.99999999999999,8.4e-10
force-save-2022.07.07-20.13.33.040.jpk-force,0,2.18e-07,2.18e-06,3179.9999999999995,90.2,,11.3,135.0,3.79e-10
force-save-2022.07.07-20.28.55.222.jpk-force,0,2.19e-07,2.13e-06,2539.9999999999995,372.0,,11.200000000000001,111.0,7.46e-10
force-save-2022.07.07-20.46.54.091.jpk-force,0,2.58e-07,2.57e-06,3529.9999999999995,130.0,,11.200000000000001,121.99999999999999,3.48e-10
force-save-2022.07.07-20.27.54.434.jpk-force,0,1.89e-07,1.88e-06,2649.9999999999995,182.0,,10.6,78.2,2.76e-10
force-save-2022.07.07-20.16.13.345.jpk-force,0,1.52e-07,1.5e-06,2559.9999999999995,91.7,,10.5,81.5,2.08e-10
