Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2022.09.22-20.32.30.137.jpk-force,0,6.47e-08,6.41e-07,954.9999999999999,25.0,,24.5,448.0,3.37e-09
force-save-2022.09.22-20.32.30.137.jpk-force,2,8.38e-07,1.57e-06,1930.0,104.0,,24.099999999999998,300.0,2.08e-09
force-save-2022.09.22-19.41.17.245.jpk-force,0,1.19e-07,1.18e-06,1450.0,114.0,,21.1,284.0,2.71e-09
force-save-2022.09.22-20.45.42.285.jpk-force,1,1.34e-07,4.94e-07,677.0,44.6,,20.7,362.0,4.59e-09
force-save-2022.09.22-20.21.13.720.jpk-force,1,1.35e-06,2.22e-06,2519.9999999999995,508.0,,20.0,155.0,1.37e-09
force-save-2022.09.22-20.39.47.101.jpk-force,0,1.9e-07,1.88e-06,2259.9999999999995,129.0,,19.900000000000002,311.0,2.12e-09
force-save-2022.09.22-20.28.51.331.jpk-force,0,2.7e-07,2.7e-06,3169.9999999999995,181.0,,19.599999999999998,278.0,1.54e-09
force-save-2022.09.22-20.44.21.808.jpk-force,1,3.22e-07,2.33e-06,2839.9999999999995,93.39999999999999,,18.900000000000002,361.0,1.77e-09
force-save-2022.09.22-20.36.10.702.jpk-force,2,7.93e-07,1.78e-06,2339.9999999999995,50.0,,18.599999999999998,401.0,1.78e-09
force-save-2022.09.22-20.30.16.895.jpk-force,2,1.1e-06,1.78e-06,2200.0,44.3,,18.3,704.0,4.11e-09
force-save-2022.09.22-20.40.59.153.jpk-force,0,2.62e-07,2.62e-06,3139.9999999999995,84.8,,17.8,468.00000000000006,2.27e-09
force-save-2022.09.22-20.39.41.560.jpk-force,0,7.24e-11,8.23e-07,1060.0,82.39999999999999,,17.7,280.0,2.91e-09
force-save-2022.09.22-19.30.00.801.jpk-force,1,1.1e-07,3.08e-07,455.99999999999994,28.5,,17.599999999999998,408.0,6.21e-09
force-save-2022.09.22-19.34.10.128.jpk-force,0,7.85e-12,7.68e-07,999.9999999999999,76.5,,17.1,278.0,2.96e-09
force-save-2022.09.22-20.27.22.820.jpk-force,0,9.43e-12,7.76e-07,959.9999999999998,136.0,,16.900000000000002,223.0,2.95e-09
force-save-2022.09.22-20.49.46.138.jpk-force,1,1.63e-06,2.89e-06,3850.0,35.3,,16.5,531.0,1.39e-09
force-save-2022.09.22-20.46.04.500.jpk-force,3,5.77e-07,1.03e-06,1329.9999999999998,55.699999999999996,,16.3,420.0,3.44e-09
force-save-2022.09.22-20.48.01.056.jpk-force,1,2.49e-07,8.95e-07,1179.9999999999998,41.300000000000004,,16.2,472.0,3.88e-09
force-save-2022.09.22-19.21.42.503.jpk-force,0,2.4e-07,2.4e-06,2759.9999999999995,215.0,,16.1,303.0,2.18e-09
force-save-2022.09.22-20.30.16.895.jpk-force,1,3.35e-07,1.01e-06,1269.9999999999998,115.0,,16.1,229.0,2.19e-09
force-save-2022.09.22-19.23.10.185.jpk-force,2,2.33e-07,9.41e-07,1089.9999999999998,271.0,,16.1,209.0,3.47e-09
force-save-2022.09.22-20.25.53.760.jpk-force,2,2.55e-06,3.32e-06,3979.9999999999995,79.5,,15.900000000000002,512.0,1.99e-09
force-save-2022.09.22-19.34.10.128.jpk-force,1,8.37e-07,1.43e-06,1659.9999999999998,102.0,,15.799999999999999,570.0,6.12e-09
force-save-2022.09.22-19.43.11.438.jpk-force,0,1.8e-12,1.55e-06,1739.9999999999998,549.0,,15.700000000000001,168.0,2.37e-09
force-save-2022.09.22-19.28.54.425.jpk-force,0,4.04e-11,7.34e-07,927.9999999999999,124.00000000000001,,15.6,208.0,2.63e-09
force-save-2022.09.22-20.25.28.643.jpk-force,1,5.92e-07,1.57e-06,1999.9999999999998,81.7,,15.4,301.0,1.75e-09
force-save-2022.09.22-20.21.46.919.jpk-force,0,1.01e-07,1.93e-06,2179.9999999999995,146.0,,15.0,553.0,5.32e-09
force-save-2022.09.22-20.37.50.490.jpk-force,0,1.81e-10,1.14e-06,1499.9999999999998,54.300000000000004,,14.6,369.0,2.52e-09
force-save-2022.09.22-20.29.21.532.jpk-force,0,2.73e-07,2.73e-06,3210.0,165.0,,14.6,293.0,1.58e-09
force-save-2022.09.22-20.36.55.056.jpk-force,2,6.65e-07,1.32e-06,1759.9999999999998,54.0,,14.5,346.0,1.95e-09
force-save-2022.09.22-20.23.48.645.jpk-force,2,1.45e-06,2.23e-06,2889.9999999999995,67.2,,14.2,324.0,1.23e-09
force-save-2022.09.22-19.40.21.736.jpk-force,0,9.68e-08,9.67e-07,1159.9999999999998,191.0,,13.3,213.0,2.87e-09
force-save-2022.09.22-20.21.13.720.jpk-force,0,1.96e-11,1.23e-06,1309.9999999999998,2370.0,,13.3,125.00000000000001,4.05e-09
force-save-2022.09.22-20.27.31.030.jpk-force,0,1.04e-07,1.04e-06,1219.9999999999998,67.5,,13.200000000000001,690.0,8.19e-09
force-save-2022.09.22-19.21.52.964.jpk-force,0,1.33e-07,1.33e-06,1609.9999999999998,94.60000000000001,,12.9,378.0,3.25e-09
force-save-2022.09.22-20.37.06.105.jpk-force,0,1.85e-07,1.84e-06,2070.0,635.0,,12.700000000000001,137.0,1.59e-09
force-save-2022.09.22-20.42.38.991.jpk-force,2,2.59e-07,1.04e-06,1509.9999999999998,55.8,,12.6,223.0,1.18e-09
force-save-2022.09.22-20.28.26.370.jpk-force,2,3.31e-07,1.31e-06,1479.9999999999998,834.0,,12.5,97.10000000000001,1.49e-09
force-save-2022.09.22-20.49.46.138.jpk-force,0,1.49e-07,1.48e-06,2500.0,37.199999999999996,,12.3,206.0,5.18e-10
force-save-2022.09.22-20.27.00.544.jpk-force,1,9.46e-07,1.37e-06,1839.9999999999998,22.8,,12.3,774.0,3.81e-09
force-save-2022.09.22-20.49.29.539.jpk-force,2,4.15e-07,2.01e-06,2529.9999999999995,134.0,,12.100000000000001,199.0,9.75e-10
force-save-2022.09.22-20.47.38.904.jpk-force,2,4.23e-07,2.08e-06,2439.9999999999995,389.0,,12.100000000000001,127.0,9.13e-10
force-save-2022.09.22-19.22.04.001.jpk-force,0,1.39e-12,2.49e-07,337.99999999999994,384.0,,11.9,43.7,1.2e-09
force-save-2022.09.22-20.22.03.450.jpk-force,0,1.23e-10,5.03e-07,723.9999999999999,46.5,,11.8,278.0,2.98e-09
force-save-2022.09.22-19.42.49.165.jpk-force,0,1.33e-12,8.73e-07,982.9999999999999,1050.0,,11.5,80.7,1.94e-09
force-save-2022.09.22-20.26.13.111.jpk-force,0,1.1e-07,1.09e-06,1210.0,1210.0,,11.5,78.7,1.61e-09
force-save-2022.09.22-20.27.14.402.jpk-force,3,1.07e-06,1.95e-06,2420.0,240.0,,11.4,122.99999999999999,6.64e-10
force-save-2022.09.22-20.37.28.275.jpk-force,0,1.9e-07,1.71e-06,1970.0,352.0,,11.200000000000001,173.0,1.72e-09
force-save-2022.09.22-20.27.53.173.jpk-force,0,7.21e-08,7.2e-07,1269.9999999999998,94.19999999999999,,11.0,71.60000000000001,3.32e-10
force-save-2022.09.22-20.48.26.014.jpk-force,2,6.33e-07,1.79e-06,2079.9999999999995,441.0,,10.899999999999999,120.0,1.05e-09
force-save-2022.09.22-19.26.24.056.jpk-force,2,2.02e-06,2.63e-06,3259.9999999999995,160.0,,10.7,189.0,7.83e-10
force-save-2022.09.22-20.35.22.172.jpk-force,3,1.07e-06,2.85e-06,3529.9999999999995,145.0,,10.7,209.0,7.96e-10
force-save-2022.09.22-19.27.03.017.jpk-force,0,2.41e-08,2.44e-07,308.99999999999994,370.0,,10.6,68.9,2.63e-09
force-save-2022.09.22-20.25.31.536.jpk-force,0,2.1e-07,2.1e-06,2730.0,88.89999999999999,,10.6,240.0,9.54e-10
force-save-2022.09.22-20.15.10.082.jpk-force,0,1.31e-10,2.61e-07,379.99999999999994,27.0,,10.5,453.0,8.08e-09
force-save-2022.09.22-19.42.40.728.jpk-force,0,1.87e-08,1.84e-07,338.99999999999994,37.300000000000004,,10.5,165.0,2.74e-09
force-save-2022.09.22-19.23.48.808.jpk-force,0,7.93e-12,7.67e-07,863.9999999999999,1180.0,,10.5,71.2,1.92e-09
force-save-2022.09.22-19.28.23.839.jpk-force,0,1.54e-07,1.54e-06,2470.0,252.0,,10.5,34.5,9.34e-11
force-save-2022.09.22-20.36.32.869.jpk-force,1,9.81e-07,1.88e-06,2179.9999999999995,647.0,,10.399999999999999,87.6,7.68e-10
force-save-2022.09.22-20.26.38.251.jpk-force,0,1.33e-10,8.68e-07,1650.0,69.4,,10.399999999999999,81.89999999999999,2.78e-10
force-save-2022.09.22-20.30.50.143.jpk-force,0,1.73e-07,7.07e-07,827.9999999999999,837.0,,10.299999999999999,60.5,1.31e-09
force-save-2022.09.22-20.46.04.500.jpk-force,2,1.75e-07,5.17e-07,619.9999999999999,476.0,,10.299999999999999,83.0,2.03e-09
force-save-2022.09.22-20.43.23.339.jpk-force,3,2.06e-06,3.35e-06,3609.9999999999995,2500.0,,10.299999999999999,78.89999999999999,8.17e-10
force-save-2022.09.22-19.29.49.783.jpk-force,0,4.3e-08,4.26e-07,570.0,135.0,,10.0,135.0,2.28e-09
force-save-2022.09.22-20.34.15.643.jpk-force,0,2.7e-07,2.69e-06,3229.9999999999995,164.0,,9.989999999999998,241.0,1.16e-09
force-save-2022.09.22-20.22.11.885.jpk-force,0,1.87e-07,1.87e-06,2770.0,186.0,,9.88,61.3,1.69e-10
force-save-2022.09.22-20.49.18.449.jpk-force,1,5.64e-07,2.64e-06,3769.9999999999995,97.9,,9.72,136.0,3.04e-10
force-save-2022.09.22-20.21.02.724.jpk-force,1,5.56e-08,2.98e-07,343.99999999999994,3940.0,,9.709999999999999,15.2,8.57e-10
force-save-2022.09.22-20.36.05.176.jpk-force,0,2.46e-07,2.46e-06,3549.9999999999995,325.0,,9.680000000000001,38.900000000000006,9.02e-11
force-save-2022.09.22-19.24.33.045.jpk-force,0,6.53e-08,6.47e-07,899.9999999999999,66.80000000000001,,9.680000000000001,224.0,2.17e-09
force-save-2022.09.22-19.37.30.095.jpk-force,1,1.7e-07,1.08e-06,1239.9999999999998,471.0,,9.58,144.0,2.4e-09
force-save-2022.09.22-20.25.39.793.jpk-force,0,7.79e-08,7.76e-07,855.9999999999999,597.0,,9.52,205.0,6.2e-09
force-save-2022.09.22-20.36.13.587.jpk-force,0,1.1e-07,1.1e-06,1569.9999999999998,54.300000000000004,,9.47,245.99999999999997,1.3e-09
force-save-2022.09.22-19.34.18.557.jpk-force,0,4.95e-12,1.85e-06,2060.0,1150.0,,9.46,86.69999999999999,1.1e-09
force-save-2022.09.22-20.44.52.261.jpk-force,0,6.15e-08,6.08e-07,744.9999999999999,168.0,,9.4,197.0,3.53e-09
force-save-2022.09.22-19.30.33.966.jpk-force,0,6.26e-08,4.45e-07,519.0,1280.0,,9.389999999999999,41.300000000000004,1.46e-09
force-save-2022.09.22-20.43.23.339.jpk-force,2,5.4e-07,1.89e-06,2730.0,23.400000000000002,,9.370000000000001,543.0,1.59e-09
force-save-2022.09.22-20.27.31.030.jpk-force,1,1.21e-06,2.72e-06,3329.9999999999995,128.0,,9.33,259.0,1.08e-09
force-save-2022.09.22-19.29.05.505.jpk-force,0,2.57e-07,2.56e-06,3389.9999999999995,89.89999999999999,,9.299999999999999,215.0,6.53e-10
force-save-2022.09.22-20.42.52.976.jpk-force,0,8.91e-08,8.54e-07,2150.0,46.5,,9.26,73.80000000000001,1.88e-10
force-save-2022.09.22-20.26.52.121.jpk-force,0,1.1e-07,1.08e-06,1479.9999999999998,147.0,,9.26,109.0,6.76e-10
force-save-2022.09.22-20.35.44.317.jpk-force,1,1.18e-06,2.19e-06,2889.9999999999995,78.8,,9.22,244.99999999999997,8.74e-10
force-save-2022.09.22-20.27.19.933.jpk-force,0,1.05e-07,1.05e-06,1540.0,26.0,,9.18,460.0,2.24e-09
force-save-2022.09.22-20.17.31.498.jpk-force,1,1.12e-07,7e-07,835.9999999999999,424.0,,9.18,98.5,1.84e-09
force-save-2022.09.22-20.35.05.643.jpk-force,0,7.38e-08,7.4e-07,1250.0,65.0,,9.15,118.0,5.9e-10
force-save-2022.09.22-20.27.00.544.jpk-force,9,2.38e-06,2.85e-06,3779.9999999999995,29.400000000000002,,9.14,651.0,1.71e-09
force-save-2022.09.22-19.28.09.872.jpk-force,0,2.94e-11,1.36e-06,1479.9999999999998,2760.0,,9.11,62.2,1.44e-09
force-save-2022.09.22-20.43.12.291.jpk-force,4,1.01e-06,2.16e-06,2629.9999999999995,373.0,,9.1,93.5,5.22e-10
force-save-2022.09.22-20.25.50.872.jpk-force,0,1.18e-07,1.15e-06,1629.9999999999998,121.0,,9.03,115.0,6e-10
force-save-2022.09.22-20.23.59.711.jpk-force,1,3.49e-07,2.7e-06,3019.9999999999995,2400.0,,8.97,39.1,3.28e-10
force-save-2022.09.22-20.49.32.430.jpk-force,0,2.33e-07,2.33e-06,2929.9999999999995,138.0,,8.950000000000001,193.0,8.24e-10
force-save-2022.09.22-20.28.15.278.jpk-force,0,1.57e-07,1.57e-06,1999.9999999999998,50.5,,8.84,473.0,2.63e-09
force-save-2022.09.22-20.31.26.271.jpk-force,0,1.12e-07,1.11e-06,1479.9999999999998,88.80000000000001,,8.72,203.0,1.34e-09
force-save-2022.09.22-20.41.10.177.jpk-force,0,4.52e-08,4.41e-07,694.9999999999999,118.0,,8.68,78.8,7.8e-10
force-save-2022.09.22-20.28.20.828.jpk-force,0,1.04e-07,1.01e-06,1829.9999999999998,81.0,,8.64,78.89999999999999,2.5e-10
force-save-2022.09.22-20.35.08.535.jpk-force,2,7.27e-07,1.57e-06,1739.9999999999998,2250.0,,8.56,48.1,7.52e-10
force-save-2022.09.22-20.42.38.991.jpk-force,3,1.11e-06,1.64e-06,1879.9999999999998,916.0,,8.540000000000001,69.7,7.57e-10
force-save-2022.09.22-20.48.48.103.jpk-force,0,6.04e-11,4.8e-07,798.9999999999999,120.0,,8.4,65.8,5.25e-10
force-save-2022.09.22-19.29.52.677.jpk-force,0,5.04e-08,5e-07,564.9999999999999,1260.0,,8.4,64.3,2.56e-09
force-save-2022.09.22-20.35.38.780.jpk-force,0,1.7e-07,1.69e-06,2190.0,180.0,,8.389999999999999,121.99999999999999,6.19e-10
force-save-2022.09.22-20.43.34.462.jpk-force,1,6.52e-07,2.57e-06,3379.9999999999995,660.0,,8.32,29.900000000000002,9.38e-11
force-save-2022.09.22-19.36.18.179.jpk-force,0,3.37e-08,3.38e-07,390.0,1410.0,,8.32,42.9,2.14e-09
force-save-2022.09.22-20.33.53.408.jpk-force,2,5.63e-07,9.57e-07,1569.9999999999998,31.5,,8.28,263.0,1.08e-09
force-save-2022.09.22-20.37.20.105.jpk-force,0,8.05e-08,7.93e-07,873.0,3220.0,,8.25,39.199999999999996,1.31e-09
force-save-2022.09.22-20.46.49.138.jpk-force,1,8.48e-08,3.02e-07,546.0,21.799999999999997,,8.23,293.0,2.95e-09
force-save-2022.09.22-20.48.17.574.jpk-force,2,2.97e-07,6.37e-07,728.9999999999999,802.0,,8.13,84.0,2.35e-09
force-save-2022.09.22-19.37.52.196.jpk-force,0,1.4e-11,9e-07,1939.9999999999998,107.0,,8.08,41.8,1.19e-10
force-save-2022.09.22-20.27.42.120.jpk-force,1,1.63e-06,2.23e-06,2810.0,112.0,,8.06,242.0,1.06e-09
force-save-2022.09.22-20.28.04.225.jpk-force,2,9.94e-07,1.25e-06,4210.0,23.7,,8.05,95.6,1.37e-10
force-save-2022.09.22-19.44.15.199.jpk-force,0,6.37e-08,6.12e-07,979.9999999999998,412.0,,8.040000000000001,21.5,1.5e-10
force-save-2022.09.22-20.36.43.983.jpk-force,0,2.26e-07,2.26e-06,2900.0,117.00000000000001,,8.040000000000001,199.0,7.95e-10
force-save-2022.09.22-19.42.57.444.jpk-force,0,6.93e-08,6.93e-07,884.9999999999999,162.0,,8.0,148.0,1.95e-09
force-save-2022.09.22-20.31.48.520.jpk-force,0,1.37e-07,1.37e-06,1650.0,1470.0,,7.950000000000001,25.7,2.41e-10
force-save-2022.09.22-19.31.18.198.jpk-force,0,1.77e-07,1.75e-06,1989.9999999999998,886.0,,7.930000000000001,83.19999999999999,9.32e-10
