Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2022.09.22-18.30.37.613.jpk-force,0,4.3e-08,4.21e-07,502.99999999999994,1240.0,,10.6,33.1,9.93e-10
force-save-2022.09.22-18.12.05.050.jpk-force,2,1.19e-07,1.59e-07,364.99999999999994,22.8,,10.5,175.0,2.36e-09
force-save-2022.09.22-18.11.06.898.jpk-force,4,2.56e-07,3.67e-07,415.99999999999994,1870.0,,10.399999999999999,41.199999999999996,2.06e-09
force-save-2022.09.22-18.20.21.681.jpk-force,0,1.38e-07,1.37e-06,1779.9999999999998,129.0,,10.399999999999999,167.0,1e-09
force-save-2022.09.22-18.41.55.250.jpk-force,0,7.23e-08,7.01e-07,807.9999999999999,928.0,,10.299999999999999,65.6,1.54e-09
force-save-2022.09.22-18.25.19.992.jpk-force,0,8.79e-08,1.45e-06,2309.9999999999995,163.0,,10.299999999999999,55.4,1.58e-10
force-save-2022.09.22-18.24.48.601.jpk-force,0,8.42e-12,5.52e-07,660.0,671.0,,10.2,60.5,1.38e-09
force-save-2022.09.22-18.31.35.799.jpk-force,0,7.91e-08,7.78e-07,1140.0,101.0,,10.2,118.0,7.8e-10
force-save-2022.09.22-18.15.22.218.jpk-force,3,1.31e-07,3.93e-07,523.9999999999999,165.0,,10.1,112.0,2.03e-09
force-save-2022.09.22-18.14.55.117.jpk-force,0,1.14e-07,1.11e-06,1279.9999999999998,418.0,,10.1,139.0,2e-09
force-save-2022.09.22-18.13.22.470.jpk-force,4,6.41e-07,2.47e-06,3860.0,212.0,,10.1,44.800000000000004,7.9e-11
force-save-2022.09.22-18.20.07.150.jpk-force,3,2.12e-07,6.55e-07,811.9999999999999,325.0,,10.0,91.3,1.44e-09
force-save-2022.09.22-18.33.42.202.jpk-force,0,5.29e-08,3.5e-07,397.0,1360.0,,9.97,55.699999999999996,2.95e-09
force-save-2022.09.22-18.41.16.249.jpk-force,0,7.41e-08,5.89e-07,1069.9999999999998,212.0,,9.92,29.7,1.57e-10
force-save-2022.09.22-18.41.50.369.jpk-force,1,3.06e-07,1.26e-06,1450.0,553.0,,9.91,115.0,1.55e-09
force-save-2022.09.22-18.37.07.915.jpk-force,0,2.6e-11,4.12e-07,534.9999999999999,218.0,,9.870000000000001,99.3,1.9e-09
force-save-2022.09.22-18.14.50.244.jpk-force,3,7.96e-07,1.02e-06,1450.0,49.3,,9.780000000000001,284.0,1.61e-09
force-save-2022.09.22-18.13.51.482.jpk-force,2,2.18e-06,2.33e-06,2699.9999999999995,78.7,,9.780000000000001,712.0,4.55e-09
force-save-2022.09.22-18.33.42.202.jpk-force,2,6.89e-07,9.09e-07,1230.0,62.9,,9.73,272.0,2.02e-09
force-save-2022.09.22-18.26.13.246.jpk-force,2,3.39e-07,6.2e-07,773.0,662.0,,9.62,42.9,7.02e-10
force-save-2022.09.22-18.19.28.461.jpk-force,0,5.71e-08,5.67e-07,656.9999999999999,1290.0,,9.6,44.800000000000004,1.27e-09
force-save-2022.09.22-18.40.37.115.jpk-force,2,1.98e-06,2.28e-06,3619.9999999999995,101.0,,9.53,89.8,1.64e-10
force-save-2022.09.22-18.10.46.916.jpk-force,0,1.47e-07,1.46e-06,1979.9999999999998,301.0,,9.52,54.9,2.49e-10
force-save-2022.09.22-18.17.17.543.jpk-force,3,1.27e-07,2.12e-07,311.99999999999994,236.0,,9.51,50.1,1.17e-09
force-save-2022.09.22-18.33.54.494.jpk-force,4,1.01e-06,2.02e-06,2929.9999999999995,198.0,,9.43,62.50000000000001,1.67e-10
force-save-2022.09.22-18.36.48.352.jpk-force,0,6.31e-08,6.34e-07,1019.9999999999999,24.200000000000003,,9.4,360.0,2.16e-09
force-save-2022.09.22-18.31.16.376.jpk-force,0,1.07e-07,1.07e-06,3419.9999999999995,53.8,,9.35,45.1,7.56e-11
force-save-2022.09.22-18.27.16.370.jpk-force,2,4.86e-07,1.8e-06,2259.9999999999995,353.0,,9.35,77.1,4.26e-10
force-save-2022.09.22-18.26.51.919.jpk-force,0,8e-12,1.02e-06,1179.9999999999998,825.0,,9.32,72.0,1.17e-09
force-save-2022.09.22-18.10.16.579.jpk-force,3,1.09e-06,2.22e-06,2889.9999999999995,153.0,,9.31,140.0,4.94e-10
force-save-2022.09.22-18.26.32.565.jpk-force,0,4.31e-08,1.26e-06,2060.0,170.0,,9.28,49.6,1.56e-10
force-save-2022.09.22-18.12.19.569.jpk-force,9,2.68e-07,2.82e-07,394.99999999999994,174.0,,9.26,83.0,1.72e-09
force-save-2022.09.22-18.26.13.246.jpk-force,4,1.24e-06,2.3e-06,2629.9999999999995,2120.0,,9.25,32.099999999999994,2.55e-10
force-save-2022.09.22-18.18.44.905.jpk-force,3,1.87e-07,1.96e-07,331.99999999999994,54.0,,9.22,140.0,2.43e-09
force-save-2022.09.22-18.26.22.998.jpk-force,2,3.5e-07,1.16e-06,1419.9999999999998,530.0,,9.22,63.5,6.24e-10
force-save-2022.09.22-18.18.49.774.jpk-force,1,1.46e-07,7.22e-07,911.9999999999999,540.0,,9.209999999999999,47.9,6.19e-10
force-save-2022.09.22-18.33.42.202.jpk-force,4,1.29e-06,1.48e-06,1869.9999999999998,57.1,,9.18,449.0,2.75e-09
force-save-2022.09.22-18.28.49.741.jpk-force,0,6.35e-08,4.27e-07,572.9999999999999,448.0,,9.13,39.599999999999994,6.57e-10
force-save-2022.09.22-18.17.37.073.jpk-force,3,2.48e-07,9.17e-07,1069.9999999999998,633.0,,9.12,81.39999999999999,1.28e-09
force-save-2022.09.22-18.15.34.520.jpk-force,4,1.95e-07,3.16e-07,409.99999999999994,347.0,,9.08,62.3,1.59e-09
force-save-2022.09.22-18.35.20.167.jpk-force,0,5.09e-08,5.04e-07,575.9999999999999,1190.0,,9.07,58.3,2.03e-09
force-save-2022.09.22-18.10.57.162.jpk-force,2,3.38e-07,1.53e-06,2169.9999999999995,285.0,,9.05,48.5,1.81e-10
force-save-2022.09.22-18.18.54.641.jpk-force,2,1.73e-07,6.91e-07,917.9999999999999,414.0,,9.01,45.4,4.84e-10
force-save-2022.09.22-18.41.40.624.jpk-force,0,1.63e-07,1.38e-06,1659.9999999999998,651.0,,9.0,58.800000000000004,5.26e-10
force-save-2022.09.22-18.15.34.520.jpk-force,5,3.81e-07,7.48e-07,965.9999999999998,219.0,,8.979999999999999,102.0,1.13e-09
force-save-2022.09.22-18.27.55.756.jpk-force,2,9.44e-07,1.09e-06,1569.9999999999998,38.3,,8.979999999999999,330.0,1.62e-09
force-save-2022.09.22-18.09.17.981.jpk-force,0,3.1e-11,2.66e-07,527.9999999999999,51.4,,8.950000000000001,102.0,1.04e-09
force-save-2022.09.22-18.18.49.774.jpk-force,2,8.44e-07,1.76e-06,2039.9999999999998,810.0,,8.93,69.6,6.25e-10
force-save-2022.09.22-18.15.19.659.jpk-force,2,3.93e-07,1.16e-06,1509.9999999999998,447.0,,8.92,47.300000000000004,3.33e-10
force-save-2022.09.22-18.12.43.797.jpk-force,4,1.55e-07,1.66e-07,320.99999999999994,31.900000000000002,,8.879999999999999,173.0,2.77e-09
force-save-2022.09.22-18.27.01.676.jpk-force,3,2.27e-07,7.02e-07,819.9999999999999,775.0,,8.770000000000001,67.39999999999999,1.46e-09
force-save-2022.09.22-18.22.12.120.jpk-force,0,7.16e-11,6.09e-07,962.0,120.0,,8.76,76.7,5.26e-10
force-save-2022.09.22-18.39.43.311.jpk-force,1,1.39e-07,2.32e-07,349.99999999999994,233.00000000000003,,8.73,46.2,9.44e-10
force-save-2022.09.22-18.13.22.470.jpk-force,3,2.13e-07,4.27e-07,670.0,238.0,,8.7,39.5,3.97e-10
force-save-2022.09.22-18.09.49.860.jpk-force,4,1.15e-06,1.52e-06,2160.0,96.30000000000001,,8.69,139.0,5.27e-10
force-save-2022.09.22-18.27.16.370.jpk-force,1,1.28e-07,2.59e-07,330.99999999999994,276.0,,8.63,85.7,2.84e-09
force-save-2022.09.22-18.11.09.452.jpk-force,3,2.31e-07,2.53e-07,383.99999999999994,38.0,,8.62,277.0,4.58e-09
force-save-2022.09.22-18.09.40.006.jpk-force,2,4.97e-07,9.92e-07,1230.0,393.0,,8.61,77.6,8.42e-10
force-save-2022.09.22-18.31.38.352.jpk-force,1,8.82e-07,2.29e-06,3969.9999999999995,153.0,,8.61,46.400000000000006,6.93e-11
force-save-2022.09.22-18.11.21.429.jpk-force,8,2.66e-07,2.81e-07,410.99999999999994,34.0,,8.58,357.0,5.82e-09
force-save-2022.09.22-18.40.22.347.jpk-force,1,3.94e-07,1.66e-06,1899.9999999999998,608.0,,8.58,117.00000000000001,1.29e-09
force-save-2022.09.22-18.25.24.864.jpk-force,0,2.21e-11,4.98e-07,688.9999999999999,284.0,,8.569999999999999,54.0,6.82e-10
force-save-2022.09.22-18.09.40.006.jpk-force,1,1.27e-07,4.36e-07,516.9999999999999,1090.0,,8.56,40.8,1.29e-09
force-save-2022.09.22-18.16.57.967.jpk-force,2,3.25e-07,2.02e-06,3029.9999999999995,126.0,,8.540000000000001,87.7,2.08e-10
force-save-2022.09.22-18.11.35.881.jpk-force,3,1.6e-07,1.72e-07,391.99999999999994,21.7,,8.53,187.0,2.35e-09
force-save-2022.09.22-18.11.26.299.jpk-force,3,2.3e-07,2.4e-07,422.99999999999994,87.9,,8.51,77.80000000000001,1.03e-09
force-save-2022.09.22-18.16.38.338.jpk-force,4,2.87e-07,7.87e-07,917.9999999999999,1270.0,,8.51,41.7,7.94e-10
force-save-2022.09.22-18.22.12.120.jpk-force,2,9.07e-07,2.05e-06,2579.9999999999995,166.0,,8.5,160.0,7.41e-10
force-save-2022.09.22-18.34.21.469.jpk-force,1,3.34e-07,1.12e-06,1379.9999999999998,428.0,,8.49,73.1,7.01e-10
force-save-2022.09.22-18.41.21.126.jpk-force,0,6.9e-08,6.67e-07,858.9999999999999,629.0,,8.49,36.099999999999994,4.62e-10
force-save-2022.09.22-18.31.06.628.jpk-force,0,5.8e-08,4.99e-07,677.0,192.0,,8.479999999999999,88.3,1.18e-09
force-save-2022.09.22-18.17.27.330.jpk-force,0,1.2e-07,1.14e-06,1329.9999999999998,529.0,,8.46,101.0,1.3e-09
force-save-2022.09.22-18.27.21.243.jpk-force,2,1.81e-07,9.34e-07,1259.9999999999998,486.0,,8.450000000000001,35.9,2.75e-10
force-save-2022.09.22-18.35.49.554.jpk-force,0,9.96e-11,7.56e-07,1279.9999999999998,134.0,,8.450000000000001,56.1,2.63e-10
force-save-2022.09.22-18.35.05.445.jpk-force,0,2.67e-11,3.6e-07,579.9999999999999,98.3,,8.44,88.3,9.69e-10
force-save-2022.09.22-18.26.06.215.jpk-force,1,5.75e-07,1.7e-06,2259.9999999999995,253.0,,8.44,74.39999999999999,3.29e-10
force-save-2022.09.22-18.40.12.594.jpk-force,0,1.32e-11,4.22e-07,477.0,2650.0,,8.43,29.7,1.37e-09
force-save-2022.09.22-18.30.08.297.jpk-force,0,8.09e-08,7.94e-07,990.9999999999998,770.0,,8.41,36.900000000000006,4.62e-10
force-save-2022.09.22-18.33.42.202.jpk-force,3,9.48e-07,1.27e-06,1859.9999999999998,49.4,,8.389999999999999,243.0,9.97e-10
force-save-2022.09.22-18.36.48.352.jpk-force,2,1.41e-06,1.78e-06,2309.9999999999995,62.099999999999994,,8.350000000000001,344.0,1.53e-09
force-save-2022.09.22-18.11.40.750.jpk-force,2,1.71e-07,2.22e-07,386.99999999999994,56.4,,8.32,124.00000000000001,1.79e-09
force-save-2022.09.22-18.22.24.357.jpk-force,0,2.43e-11,6.41e-07,726.9999999999999,1650.0,,8.299999999999999,45.4,1.33e-09
force-save-2022.09.22-18.20.46.127.jpk-force,0,2.3e-07,2.29e-06,2659.9999999999995,565.0,,8.28,96.80000000000001,6.7e-10
force-save-2022.09.22-18.40.17.470.jpk-force,0,1.83e-07,1.82e-06,3649.9999999999995,168.0,,8.28,30.499999999999996,4.53e-11
force-save-2022.09.22-18.22.51.427.jpk-force,1,1.03e-07,2.77e-07,402.99999999999994,195.0,,8.25,63.4,1.19e-09
